genes	weight
EPYC	0.132483452559
COL11A1	0.131294846535
PPAPDC1A	0.12674285471400001
NETO1	0.114783227444
SLC24A2	0.113386638463
MMP13	0.11227984726399999
LRRC15	0.11074373871099999
COL10A1	0.106173150241
IGFL2	0.0977537706494
C5orf46	0.09758879989389999
CASP14	0.0912770479918
PTPRN	0.0896195322275
SERPINB7	0.0895100533962
PAEP	0.08411537110810001
TMEM90B	0.0813196524978
CPN2	0.080901876092
ADAMTS16	0.07877272367480001
OMD	0.07828392088410001
ADAMTS12	0.0765747204423
MMP8	0.07371255755419999
KLK4	0.0731171444058
S100A7A	0.0728281065822
FAP	0.0728242695332
MMP1	0.0726279243827
SFRP2	0.0715809464455
GRP	0.0715804323554
CSMD2	0.0697304531932
ITGA11	0.0695228874683
GREM1	0.0694069340825
MMP3	0.0680680125952
NKX3-2	0.0676972791553
PODNL1	0.0664640143514
CCL11	0.0664326623082
INHBA	0.0659928172827
CORIN	0.06575987488030001
WNT2	0.065542884171
THBS2	0.065393730998
ROS1	0.06466882675890001
GJB2	0.06451790779830001
ADAM12	0.0632374808192
COL29A1	0.0627546533942
MMP11	0.0627310052514
S100A7	0.0627086907625
GPR1	0.0619694329798
MGC45800	0.0615889392793
PPEF1	0.061434578150500005
CTHRC1	0.0606093332171
ASAM	0.060551058501
LCE3D	0.0605270043015
COL12A1	0.0604956746101
SERPINB4	0.06044408306480001
COL5A2	0.059874508529900006
CYP27C1	0.0597310103476
KCND2	0.059560809284399996
CTSK	0.058818068355300006
