genes	weight
EPYC	1.09710621834
CASP14	0.973324656487
MMP13	0.8715955019
VGLL1	0.8671551942829999
C6orf15	0.840249300003
C5orf46	0.82702589035
PAEP	0.767121076584
COL10A1	0.7371738553049999
COL11A1	0.722063362598
CLEC3A	0.720909357071
GRP	0.7136417627330001
KLK5	0.712371230125
CALML5	0.707618832588
SLC24A2	0.705189466476
SCGB2A2	0.7032618522640001
LHX1	0.691633760929
CCL11	0.689177274704
SLURP1	0.6889263987540001
LOC100192378	0.687964081764
S100A7A	0.6859176158910001
IGFL2	0.681848049164
AMTN	0.671764314175
SERPINB7	0.666893959045
PGLYRP3	0.65864109993
IGFL1	0.6484338045120001
FAM25A	0.6440799236300001
SSX1	0.6407988071440001
ADIPOQ	0.638092875481
SLC35D3	0.622604489326
IBSP	0.622341871262
LRRC15	0.621659636497
C11orf86	0.616550803185
CRCT1	0.61526286602
COMP	0.6118261218069999
DMBX1	0.611822128296
PPAPDC1A	0.604889035225
KLK8	0.602159678936
PRAC	0.600668430328
SLC18A3	0.592192530632
ALPP	0.591296195984
LEMD1	0.58962392807
KLK6	0.589371085167
MUC21	0.588563680649
KCNA1	0.587104260921
KLK4	0.586222708225
MUC16	0.583574771881
CYP4F8	0.583023846149
SCEL	0.581670820713
ROS1	0.5810256600379999
WIT1	0.580267727375
TRY6	0.577590584755
CCL7	0.565643906593
SLC6A14	0.564314782619
LOC150622	0.560169875622
LDLRAD1	0.559381842613
C17orf93	0.557392954826
CXCL17	0.557018816471
KLK7	0.5563862323759999
ARHGEF38	0.5543075799939999
KLK9	0.553919672966
LPPR5	0.553631126881
MMP3	0.5497854948040001
MMP8	0.547621846199
SPRR1B	0.547467947006
CXorf49B	0.545761108398
IVL	0.543528020382
SLITRK3	0.540579557419
NETO1	0.54048115015
CST4	0.537439823151
KRT75	0.534472703934
C1QL2	0.532332420349
C12orf36	0.531189918518
RAET1L	0.53066432476
PTPRN	0.529491305351
CST2	0.528630137444
TBX5	0.5268971920009999
UCA1	0.523777365685
PGLYRP4	0.52336537838
CLDN16	0.5210521221159999
WT1	0.5193618536
NBLA00301	0.51931977272
EN1	0.517796456814
NKX6-1	0.5167163610459999
ALPPL2	0.514343142509
CRYGN	0.513154268265
HAND2	0.512012958527
KPNA7	0.511391937733
CST1	0.510444641113
SCRG1	0.5087949633600001
KRT6C	0.5071133375169999
PADI1	0.507034540176
GPR1	0.506491601467
KLK12	0.505582332611
GPR87	0.50240111351
IL1F5	0.49677166342699997
MOGAT2	0.494536340237
WNT7A	0.49397426843599995
APCS	0.492497593164
KRT4	0.49077242612800004
ZPLD1	0.490760743618
GREM1	0.49028962850599994
SLC28A3	0.48854494094800005
FAP	0.48775160312700006
CRISP3	0.48747581243500004
LOC642587	0.48672547936399996
MMP7	0.484850406647
SYT8	0.484060496092
GPR115	0.484023362398
LY6D	0.483450859785
IGF2AS	0.482546269894
SIM1	0.48207521438600004
NKX3-2	0.479003787041
VTCN1	0.477778375149
FAM150A	0.477096796036
SMPX	0.474597871304
APCDD1L	0.47355774045000004
KRT23	0.47264617681500004
C4orf7	0.472160875797
KRT16	0.471033275127
SOX11	0.470899343491
MAGEA4	0.470003962517
IL22RA2	0.469901055098
PRSS33	0.46900790929799996
GABBR2	0.468988060951
LOC100131726	0.465086221695
ARL14	0.464811176062
ADAMTS12	0.464584589005
S100A7	0.463592231274
CPN2	0.463535606861
SPRR3	0.46265447139700006
ITGB6	0.462125957012
TM7SF4	0.46201324462899995
EFNA2	0.461896657944
