genes	weight
EPYC	1.09710621834
CASP14	0.973324656487
MMP13	0.8715955019
VGLL1	0.8671551942829999
C6orf15	0.840249300003
C5orf46	0.82702589035
PAEP	0.767121076584
COL10A1	0.7371738553049999
COL11A1	0.722063362598
CLEC3A	0.720909357071
GRP	0.7136417627330001
KLK5	0.712371230125
CALML5	0.707618832588
SLC24A2	0.705189466476
SCGB2A2	0.7032618522640001
LHX1	0.691633760929
CCL11	0.689177274704
SLURP1	0.6889263987540001
LOC100192378	0.687964081764
S100A7A	0.6859176158910001
IGFL2	0.681848049164
AMTN	0.671764314175
SERPINB7	0.666893959045
PGLYRP3	0.65864109993
IGFL1	0.6484338045120001
FAM25A	0.6440799236300001
SSX1	0.6407988071440001
ADIPOQ	0.638092875481
SLC35D3	0.622604489326
IBSP	0.622341871262
LRRC15	0.621659636497
C11orf86	0.616550803185
CRCT1	0.61526286602
COMP	0.6118261218069999
DMBX1	0.611822128296
PPAPDC1A	0.604889035225
KLK8	0.602159678936
PRAC	0.600668430328
SLC18A3	0.592192530632
ALPP	0.591296195984
LEMD1	0.58962392807
KLK6	0.589371085167
MUC21	0.588563680649
KCNA1	0.587104260921
KLK4	0.586222708225
MUC16	0.583574771881
CYP4F8	0.583023846149
SCEL	0.581670820713
ROS1	0.5810256600379999
WIT1	0.580267727375
TRY6	0.577590584755
CCL7	0.565643906593
SLC6A14	0.564314782619
LOC150622	0.560169875622
LDLRAD1	0.559381842613
C17orf93	0.557392954826
CXCL17	0.557018816471
KLK7	0.5563862323759999
ARHGEF38	0.5543075799939999
KLK9	0.553919672966
LPPR5	0.553631126881
MMP3	0.5497854948040001
MMP8	0.547621846199
SPRR1B	0.547467947006
CXorf49B	0.545761108398
IVL	0.543528020382
SLITRK3	0.540579557419
NETO1	0.54048115015
CST4	0.537439823151
KRT75	0.534472703934
C1QL2	0.532332420349
C12orf36	0.531189918518
RAET1L	0.53066432476
PTPRN	0.529491305351
CST2	0.528630137444
TBX5	0.5268971920009999
UCA1	0.523777365685
PGLYRP4	0.52336537838
CLDN16	0.5210521221159999
WT1	0.5193618536
NBLA00301	0.51931977272
EN1	0.517796456814
NKX6-1	0.5167163610459999
ALPPL2	0.514343142509
CRYGN	0.513154268265
HAND2	0.512012958527
KPNA7	0.511391937733
CST1	0.510444641113
SCRG1	0.5087949633600001
KRT6C	0.5071133375169999
PADI1	0.507034540176
GPR1	0.506491601467
KLK12	0.505582332611
GPR87	0.50240111351
IL1F5	0.49677166342699997
MOGAT2	0.494536340237
WNT7A	0.49397426843599995
APCS	0.492497593164
KRT4	0.49077242612800004
ZPLD1	0.490760743618
GREM1	0.49028962850599994
SLC28A3	0.48854494094800005
FAP	0.48775160312700006
CRISP3	0.48747581243500004
LOC642587	0.48672547936399996
MMP7	0.484850406647
SYT8	0.484060496092
GPR115	0.484023362398
LY6D	0.483450859785
IGF2AS	0.482546269894
SIM1	0.48207521438600004
NKX3-2	0.479003787041
VTCN1	0.477778375149
FAM150A	0.477096796036
SMPX	0.474597871304
APCDD1L	0.47355774045000004
KRT23	0.47264617681500004
C4orf7	0.472160875797
KRT16	0.471033275127
SOX11	0.470899343491
MAGEA4	0.470003962517
IL22RA2	0.469901055098
PRSS33	0.46900790929799996
GABBR2	0.468988060951
LOC100131726	0.465086221695
ARL14	0.464811176062
ADAMTS12	0.464584589005
S100A7	0.463592231274
CPN2	0.463535606861
SPRR3	0.46265447139700006
ITGB6	0.462125957012
TM7SF4	0.46201324462899995
EFNA2	0.461896657944
INHBA	0.46022880077399997
SERPINB2	0.45949625968900004
KRT78	0.458062916994
GPR110	0.457253396511
ZIC5	0.456747114658
PCP4	0.456363946199
SCGB2A1	0.45435488224
B3GNT3	0.45339396596000003
SLCO1B3	0.45303100347499997
CRHR1	0.44972795248
GPR12	0.44881600141500005
COL8A1	0.448748797178
FGFBP1	0.44811749458300004
FUT9	0.44700729847
MUC15	0.446742653847
KRT6A	0.445375412703
SPINK4	0.441018939018
PSG4	0.440776228905
PRSS22	0.44065690040600003
KRT9	0.440426528454
LIX1	0.440380185843
ANKRD30A	0.43995451927199997
CSF2	0.438753664494
C10orf81	0.438294708729
KRT6B	0.436877399683
MAGEC1	0.436646223068
SLC6A11	0.43622803688
PDX1	0.43500974774400003
MAGEC2	0.43433573842
PRSS1	0.43224489688900003
C20orf151	0.43139493465400003
ORM2	0.42746749520300004
MSLN	0.427338302135
TH	0.42644339799900005
MAGEA11	0.426153749228
PCDH8	0.423040866852
FAM83A	0.421281278133
ODAM	0.419571876526
SLC9A4	0.419199824333
NMU	0.417671918869
TMEM90B	0.41703042388000006
FNDC1	0.41623580455799997
NPY	0.41607388854000005
CSAG2	0.41481855511699994
SPRR1A	0.414072364569
SFRP2	0.414039075375
CSDC2	0.41390618681900004
SERPINB4	0.41342610120800005
CACNG1	0.412710517645
PLA2G2F	0.411864906549
ST6GALNAC5	0.41100847721100003
CLDN8	0.41096919774999996
TMEM105	0.410729438066
COL29A1	0.410610169172
TFF2	0.409733593464
PLUNC	0.408211827278
CCDC67	0.40803229808799996
RSPO1	0.405400574207
MMP11	0.403893232346
GCKR	0.403170436621
SPRR2C	0.402896285057
C2orf54	0.40196585655199996
C19orf59	0.401811301708
UGT2B7	0.400889277458
MMP10	0.400020539761
SLAMF9	0.399327754974
FAM181A	0.398772269487
ITGBL1	0.397880494595
PPEF1	0.39786848425899995
WISP1	0.39724522829099995
FAM5C	0.396807730198
OMD	0.395225793123
CCK	0.39489138126400003
RSPO2	0.39450353384000003
SIX3	0.39411795139300004
NALCN	0.393938750029
CDR1	0.393274247646
SFTA2	0.392538934946
SFTA3	0.39164775609999997
PAX7	0.39033642411200004
MAGEA2	0.38999882340400005
LHX9	0.38995599746699994
CACNG7	0.38965404033699996
NKX2-3	0.38949495553999997
CBLC	0.38854384422300003
GABRP	0.388317614794
C20orf85	0.388217926025
KISS1	0.388121902943
TRPM8	0.38675570488000005
CST6	0.386736512184
ZIC4	0.385514080524
NGB	0.38441216945600004
ADAMTS16	0.3843100667
ITGA11	0.384161800146
CTHRC1	0.383972764015
NRK	0.383653730154
KLK11	0.382998853922
PIP	0.38214424252499996
CHRDL2	0.382012069225
DKFZp434J0226	0.381195515394
LOC554202	0.381176382303
TGM5	0.38101699948299994
CNTN1	0.38098371028899997
C10orf99	0.38025817275
LOC389493	0.37964296340899994
GALNT5	0.37932905554799995
KIAA1210	0.379304140806
MAGEA3	0.379110813141
MMP1	0.378622770309
PAX1	0.37823557853699996
LIN28B	0.37786093354199995
SFTA1P	0.376983046532
TMEM92	0.375759363174
FIBCD1	0.374459683895
FAM69C	0.372629821301
FXYD4	0.372598975897
FAM180A	0.372213244438
CYP4Z2P	0.370309650898
SCGB1A1	0.369771927595
OR7E91P	0.369218945503
CCL26	0.369159638882
WDR69	0.369115114212
SLC1A6	0.368854999542
KRT20	0.368126600981
DMRT3	0.36805665493
S100A5	0.367899179459
PADI3	0.36737880110699994
ATP13A5	0.367374539375
A2ML1	0.36705866456
KLHL38	0.36667692661300005
NKX2-5	0.366154462099
HOXD11	0.36596083641099997
MAGEA6	0.36546817421899996
ISL1	0.365426838398
STON1-GTF2A1L	0.364161074162
NTM	0.363591313362
CSMD2	0.363170742989
