genes	weight
TMEM150C	0.00027487727191053286
HS6ST3	0.00022246253973160445
TRIM36	0.0002109015791200689
PNMT	0.00020314928548721337
ADRA2C	0.00019624009595420544
HOTAIR	0.0001950420525685352
KCNK1	0.00018571913826172007
HOXC11	0.0001794606898566686
GDPD3	0.0001767724677414435
MSI1	0.00017527147283457259
EDARADD	0.00017508527657246473
CAPS	0.0001748111287708297
MT1E	0.00017475615592612624
CTSG	0.00017368194541345083
CTNND2	0.0001712787763158626
PAX7	0.00017113881060030166
FAM3B	0.00017076859691541097
CACNG1	0.0001649307781386193
NETO2	0.0001644963466262225
C10orf82	0.0001621402827702532
DHRS2	0.00015802615909801023
HSPA4L	0.00015791189258974634
C11orf92	0.00015677390298921072
ARX	0.000156323983229169
SHISA9	0.00015511344714194764
CACNG6	0.00015431649821000503
HOXC10	0.00015430672177578492
MT1X	0.00015280810707217403
GPR126	0.0001524381514014007
XK	0.00015108844079226718
ETNK2	0.00014739870068652914
C11orf93	0.0001473357668082744
CAPN5	0.00014698334593753133
IGDCC3	0.00014612485726345618
SMAGP	0.00014478081477925083
TMEM132A	0.00014335338621162774
PIK3C2G	0.00014187119379493288
BEND7	0.00014072698429227494
SLC4A10	0.00013900918861897333
MS4A2	0.00013849721173418066
SAMD11	0.00013640743038619848
MS4A15	0.00013603201412541112
SIX1	0.00013577517683128996
CAMP	0.00013512191080175315
