geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0009410	response to xenobiotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0009410	64	13	1.68756218905473	7.70341981132075	6.08242456401342e-09	3.54848649064543e-05	13;1555;1557;1559;1562;3172;7356;7363;54578;54600;54658;54659;348158	AADAC;CYP2B6;CYP2C19;CYP2C9;CYP2C18;HNF4A;ACSM2B;UGT1A6;UGT1A9;UGT1A1;UGT1A3;SCGB1A1;UGT2B4
GO:0006805	xenobiotic metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006805	62	12	1.63482587064677	7.34023128423615	4.33980789082966e-08	5.70188861722506e-05	13;1555;1557;1559;1562;3172;7363;54578;54600;54658;54659;348158	AADAC;CYP2B6;CYP2C19;CYP2C9;CYP2C18;HNF4A;ACSM2B;UGT1A6;UGT1A9;UGT1A1;UGT1A3;UGT2B4
GO:0071466	cellular response to xenobiotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0071466	62	12	1.63482587064677	7.34023128423615	4.33980789082966e-08	5.70188861722506e-05	13;1555;1557;1559;1562;3172;7363;54578;54600;54658;54659;348158	AADAC;CYP2B6;CYP2C19;CYP2C9;CYP2C18;HNF4A;ACSM2B;UGT1A6;UGT1A9;UGT1A1;UGT1A3;UGT2B4
GO:0006063	uronic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006063	16	7	0.421890547263682	16.5919811320755	6.84148445673216e-08	5.70188861722506e-05	7363;54578;54600;54658;54659;133688;167127	UGT3A1;UGT3A2;UGT1A6;UGT1A9;UGT1A1;UGT1A3;UGT2B4
GO:0019585	glucuronate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019585	16	7	0.421890547263682	16.5919811320755	6.84148445673216e-08	5.70188861722506e-05	7363;54578;54600;54658;54659;133688;167127	UGT3A1;UGT3A2;UGT1A6;UGT1A9;UGT1A1;UGT1A3;UGT2B4
GO:0052695	cellular glucuronidation	http://amigo.geneontology.org/amigo/term/GO:0052695	16	7	0.421890547263682	16.5919811320755	6.84148445673216e-08	5.70188861722506e-05	7363;54578;54600;54658;54659;133688;167127	UGT3A1;UGT3A2;UGT1A6;UGT1A9;UGT1A1;UGT1A3;UGT2B4
GO:0052696	flavonoid glucuronidation	http://amigo.geneontology.org/amigo/term/GO:0052696	16	7	0.421890547263682	16.5919811320755	6.84148445673216e-08	5.70188861722506e-05	7363;54578;54600;54658;54659;133688;167127	UGT3A1;UGT3A2;UGT1A6;UGT1A9;UGT1A1;UGT1A3;UGT2B4
GO:0032787	monocarboxylic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0032787	214	21	5.64278606965174	3.72156586140011	9.61426875889515e-08	7.01120549242429e-05	1555;1557;1559;1562;1579;2172;2938;6822;7054;7306;7363;9965;28234;54578;54600;54658;54659;133688;167127;348158;374569	UGT3A1;CYP2B6;CYP2C19;CYP2C9;CYP2C18;CYP4A11;UGT3A2;FABP6;SLCO1B3;GSTA1;ACSM2B;ASPG;UGT1A6;UGT1A9;UGT1A1;UGT1A3;SULT2A1;TH;TYRP1;UGT2B4;FGF19
GO:0009812	flavonoid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009812	19	7	0.500995024875622	13.9721946375372	2.82266046314206e-07	0.000182971123799675	7363;54578;54600;54658;54659;133688;167127	UGT3A1;UGT3A2;UGT1A6;UGT1A9;UGT1A1;UGT1A3;UGT2B4
GO:0019752	carboxylic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019752	293	24	7.72587064676617	3.10644600425011	3.25226192199324e-07	0.000189736960529085	1555;1557;1559;1562;1579;1644;2172;2938;3172;6822;7054;7306;7363;9965;28234;54578;54600;54658;54659;58510;133688;167127;348158;374569	UGT3A1;CYP2B6;CYP2C19;CYP2C9;CYP2C18;CYP4A11;DDC;UGT3A2;FABP6;SLCO1B3;GSTA1;HNF4A;ACSM2B;ASPG;UGT1A6;UGT1A9;UGT1A1;UGT1A3;PRODH2;SULT2A1;TH;TYRP1;UGT2B4;FGF19
