geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0030574	collagen catabolic process	http://amigo.geneontology.org/amigo/term/GO:0030574	42	12	1.9955223880597	6.01346297681376	2.95908123781885e-07	0.00172632799414352	1295;1300;1301;2191;4312;4314;4316;4317;4319;4320;4322;5653	COL8A1;COL10A1;COL11A1;FAP;MMP1;MMP3;MMP7;MMP8;MMP10;MMP11;MMP13;KLK6
GO:0044243	multicellular organismal catabolic process	http://amigo.geneontology.org/amigo/term/GO:0044243	45	12	2.13805970149254	5.61256544502618	6.78426057665327e-07	0.00197896881020976	1295;1300;1301;2191;4312;4314;4316;4317;4319;4320;4322;5653	COL8A1;COL10A1;COL11A1;FAP;MMP1;MMP3;MMP7;MMP8;MMP10;MMP11;MMP13;KLK6
GO:0032963	collagen metabolic process	http://amigo.geneontology.org/amigo/term/GO:0032963	58	13	2.75572139303483	4.71745802491424	2.00246791859371e-06	0.00389413261235857	1295;1300;1301;2191;4312;4314;4316;4317;4319;4320;4322;5653;8710	COL8A1;COL10A1;COL11A1;FAP;MMP1;MMP3;MMP7;MMP8;MMP10;MMP11;MMP13;KLK6;SERPINB7
GO:0044259	multicellular organismal macromolecule metabolic process	http://amigo.geneontology.org/amigo/term/GO:0044259	61	13	2.89825870646766	4.48545189254141	3.67259091960115e-06	0.00535647385623828	1295;1300;1301;2191;4312;4314;4316;4317;4319;4320;4322;5653;8710	COL8A1;COL10A1;COL11A1;FAP;MMP1;MMP3;MMP7;MMP8;MMP10;MMP11;MMP13;KLK6;SERPINB7
GO:0060429	epithelium development	http://amigo.geneontology.org/amigo/term/GO:0060429	389	38	18.4823383084577	2.05601690466897	8.3921948599297e-06	0.00901120643625752	579;1482;2019;3237;3624;3651;3713;3853;3868;3975;4825;5075;5081;5100;6098;6278;6356;6423;6492;6496;6664;6698;6699;6707;6910;7476;7490;8796;9370;9464;23581;26585;54544;81792;115908;170690;340419;389015	CTHRC1;NKX2-5;ADAMTS16;EN1;CASP14;GREM1;HOXD11;RSPO2;INHBA;PDX1;IVL;KRT6A;KRT16;SLC9A4;LHX1;NKX6-1;PAX1;PAX7;PCDH8;CRCT1;NKX3-2;ROS1;S100A7;CCL11;SFRP2;SIM1;SIX3;SOX11;SPRR1A;SPRR1B;SPRR3;TBX5;WNT7A;WT1;ADAMTS12;SCEL;ADIPOQ;HAND2
GO:0044236	multicellular organism metabolic process	http://amigo.geneontology.org/amigo/term/GO:0044236	66	13	3.13582089552239	4.14564493098525	9.2676103218281e-06	0.00901120643625752	1295;1300;1301;2191;4312;4314;4316;4317;4319;4320;4322;5653;8710	COL8A1;COL10A1;COL11A1;FAP;MMP1;MMP3;MMP7;MMP8;MMP10;MMP11;MMP13;KLK6;SERPINB7
GO:0003207	cardiac chamber formation	http://amigo.geneontology.org/amigo/term/GO:0003207	5	4	0.237562189054726	16.8376963350785	2.38031196985178e-05	0.0173584250401441	1482;6664;6910;9464	NKX2-5;SOX11;TBX5;HAND2
GO:0003211	cardiac ventricle formation	http://amigo.geneontology.org/amigo/term/GO:0003211	5	4	0.237562189054726	16.8376963350785	2.38031196985178e-05	0.0173584250401441	1482;6664;6910;9464	NKX2-5;SOX11;TBX5;HAND2
GO:0022617	extracellular matrix disassembly	http://amigo.geneontology.org/amigo/term/GO:0022617	44	10	2.09054726368159	4.78343645882913	2.79574856334452e-05	0.0181226634650577	2191;4312;4314;4316;4317;4319;4320;4322;5644;5650	FAP;MMP1;MMP3;MMP7;MMP8;MMP10;MMP11;MMP13;PRSS1;KLK7
GO:0001580	detection of chemical stimulus involved in sensory perception of bitter taste	http://amigo.geneontology.org/amigo/term/GO:0001580	6	4	0.285074626865672	14.0314136125654	6.87530310858886e-05	0.0362486466665334	1469;1470;1472;5304	CST1;CST2;CST4;PIP
GO:0050912	detection of chemical stimulus involved in sensory perception of taste	http://amigo.geneontology.org/amigo/term/GO:0050912	6	4	0.285074626865672	14.0314136125654	6.87530310858886e-05	0.0362486466665334	1469;1470;1472;5304	CST1;CST2;CST4;PIP
GO:0051606	detection of stimulus	http://amigo.geneontology.org/amigo/term/GO:0051606	69	12	3.27835820895522	3.66036876849533	7.59323488197516e-05	0.0362486466665334	1301;1469;1470;1472;3651;3736;4825;5304;5475;57115;79054;114771	PGLYRP3;COL11A1;CST1;CST2;CST4;PDX1;KCNA1;NKX6-1;PIP;PPEF1;PGLYRP4;TRPM8
GO:0030198	extracellular matrix organization	http://amigo.geneontology.org/amigo/term/GO:0030198	179	21	8.5047263681592	2.46921524466934	8.69868106498917e-05	0.0362486466665334	1295;1300;1301;1311;2191;3381;3694;4312;4314;4316;4317;4319;4320;4322;5644;5650;6423;7490;22801;26585;29113	COL8A1;COL10A1;COL11A1;COMP;FAP;ITGA11;GREM1;C6orf15;IBSP;ITGB6;MMP1;MMP3;MMP7;MMP8;MMP10;MMP11;MMP13;PRSS1;KLK7;SFRP2;WT1
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	179	21	8.5047263681592	2.46921524466934	8.69868106498917e-05	0.0362486466665334	1295;1300;1301;1311;2191;3381;3694;4312;4314;4316;4317;4319;4320;4322;5644;5650;6423;7490;22801;26585;29113	COL8A1;COL10A1;COL11A1;COMP;FAP;ITGA11;GREM1;C6orf15;IBSP;ITGB6;MMP1;MMP3;MMP7;MMP8;MMP10;MMP11;MMP13;PRSS1;KLK7;SFRP2;WT1
