	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2922.48096536	2885.00502099	0.001	100	25	1.0	2503	2	300
1	2766.334876	2794.28604412	0.001	100	25	1.0	2503	2	300
2	2737.33923333	2749.87817056	0.001	100	25	1.0	2503	2	300
3	2721.99324078	2728.90277601	0.001	100	25	1.0	2503	2	300
4	2711.49910418	2709.0088068	0.001	100	25	1.0	2503	2	300
5	2703.96474703	2707.65634336	0.001	100	25	1.0	2503	2	300
6	2698.63758301	2698.16581863	0.001	100	25	1.0	2503	2	300
7	2694.38856489	2695.45694862	0.001	100	25	1.0	2503	2	300
8	2690.35293408	2691.1871779	0.001	100	25	1.0	2503	2	300
9	2687.40040694	2689.30322826	0.001	100	25	1.0	2503	2	300
10	2684.49740038	2685.80668124	0.001	100	25	1.0	2503	2	300
11	2682.34708113	2684.52527439	0.001	100	25	1.0	2503	2	300
12	2680.31438242	2680.34034744	0.001	100	25	1.0	2503	2	300
13	2678.57274377	2678.62051678	0.001	100	25	1.0	2503	2	300
14	2677.07210809	2677.96875233	0.001	100	25	1.0	2503	2	300
15	2675.44878084	2677.7994163	0.001	100	25	1.0	2503	2	300
16	2674.15105592	2674.83026625	0.001	100	25	1.0	2503	2	300
17	2672.70606895	2675.11752967	0.001	100	25	1.0	2503	2	300
18	2671.76298565	2672.35991136	0.001	100	25	1.0	2503	2	300
19	2670.73248028	2673.47721276	0.001	100	25	1.0	2503	2	300
20	2669.85302335	2673.19320159	0.001	100	25	1.0	2503	2	300
21	2669.06473194	2672.10274026	0.001	100	25	1.0	2503	2	300
22	2668.14137117	2670.57016452	0.001	100	25	1.0	2503	2	300
23	2667.42659439	2669.15722656	0.001	100	25	1.0	2503	2	300
24	2666.9867435	2669.51526696	0.001	100	25	1.0	2503	2	300
