	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	3035.27614961	2967.09824303	0.0005	128	25	1.0	778	2	300
1	2820.87457583	2863.81110004	0.0005	128	25	1.0	778	2	300
2	2775.39126989	2813.84081658	0.0005	128	25	1.0	778	2	300
3	2755.22597146	2782.68258965	0.0005	128	25	1.0	778	2	300
4	2740.28746579	2754.45623347	0.0005	128	25	1.0	778	2	300
5	2730.08464034	2739.37238027	0.0005	128	25	1.0	778	2	300
6	2722.90646992	2731.27110486	0.0005	128	25	1.0	778	2	300
7	2716.56700761	2721.30372447	0.0005	128	25	1.0	778	2	300
8	2711.6776624	2717.57451144	0.0005	128	25	1.0	778	2	300
9	2707.4698315	2713.10613909	0.0005	128	25	1.0	778	2	300
10	2703.34437764	2708.16899246	0.0005	128	25	1.0	778	2	300
11	2700.10136232	2705.43744118	0.0005	128	25	1.0	778	2	300
12	2697.35413655	2702.92752291	0.0005	128	25	1.0	778	2	300
13	2694.78051146	2699.61927133	0.0005	128	25	1.0	778	2	300
14	2692.56284659	2698.35713292	0.0005	128	25	1.0	778	2	300
15	2690.4763831	2697.3283542	0.0005	128	25	1.0	778	2	300
16	2688.74008503	2694.25732889	0.0005	128	25	1.0	778	2	300
17	2686.88531066	2692.08504916	0.0005	128	25	1.0	778	2	300
18	2685.17025685	2690.95400587	0.0005	128	25	1.0	778	2	300
19	2684.18671947	2688.64750715	0.0005	128	25	1.0	778	2	300
20	2682.65129744	2687.70947172	0.0005	128	25	1.0	778	2	300
21	2681.53987042	2687.08610602	0.0005	128	25	1.0	778	2	300
22	2680.35959442	2685.8916263	0.0005	128	25	1.0	778	2	300
23	2678.96425177	2684.72327664	0.0005	128	25	1.0	778	2	300
24	2678.36265641	2683.34779583	0.0005	128	25	1.0	778	2	300
