	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	2912.89108343	2854.14791841	0.0005	50	25	1.0	6215	2	300
1	2769.63983523	2774.32691083	0.0005	50	25	1.0	6215	2	300
2	2742.26678781	2747.65729612	0.0005	50	25	1.0	6215	2	300
3	2726.62030341	2733.07335375	0.0005	50	25	1.0	6215	2	300
4	2715.52570376	2721.07216619	0.0005	50	25	1.0	6215	2	300
5	2707.96426018	2715.73651578	0.0005	50	25	1.0	6215	2	300
6	2701.99755317	2709.96981479	0.0005	50	25	1.0	6215	2	300
7	2697.45311501	2707.89903688	0.0005	50	25	1.0	6215	2	300
8	2693.07774747	2703.64014465	0.0005	50	25	1.0	6215	2	300
9	2690.60862919	2701.21364732	0.0005	50	25	1.0	6215	2	300
10	2687.34924953	2699.81472387	0.0005	50	25	1.0	6215	2	300
11	2684.99086915	2695.94096698	0.0005	50	25	1.0	6215	2	300
12	2682.73776498	2693.34444881	0.0005	50	25	1.0	6215	2	300
13	2680.88540903	2693.34865008	0.0005	50	25	1.0	6215	2	300
14	2679.06156395	2691.93662427	0.0005	50	25	1.0	6215	2	300
15	2677.34415383	2689.09410944	0.0005	50	25	1.0	6215	2	300
16	2676.06477884	2688.83238882	0.0005	50	25	1.0	6215	2	300
17	2674.87424735	2689.92996758	0.0005	50	25	1.0	6215	2	300
18	2673.2957561	2685.48554622	0.0005	50	25	1.0	6215	2	300
19	2672.46057939	2685.41601656	0.0005	50	25	1.0	6215	2	300
20	2671.26933294	2684.64319384	0.0005	50	25	1.0	6215	2	300
21	2670.50194584	2685.42877489	0.0005	50	25	1.0	6215	2	300
22	2669.52669191	2682.61069653	0.0005	50	25	1.0	6215	2	300
23	2668.31099814	2682.27480758	0.0005	50	25	1.0	6215	2	300
24	2667.76240521	2681.50871997	0.0005	50	25	1.0	6215	2	300
