	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth	first_layer
0	3014.20452521	2941.56945871	0.001	200	50	0.1	4625	2	300
1	2813.03888209	2849.81900964	0.001	200	50	0.1	4625	2	300
2	2768.40930877	2807.51852808	0.001	200	50	0.1	4625	2	300
3	2748.32478609	2768.42054273	0.001	200	50	0.1	4625	2	300
4	2735.4213176	2749.3602512	0.001	200	50	0.1	4625	2	300
5	2725.71451638	2728.3287888	0.001	200	50	0.1	4625	2	300
6	2718.04792123	2713.58165033	0.001	200	50	0.1	4625	2	300
7	2711.79627478	2702.97297928	0.001	200	50	0.1	4625	2	300
8	2707.27491632	2697.320214	0.001	200	50	0.1	4625	2	300
9	2703.12875986	2690.98853099	0.001	200	50	0.1	4625	2	300
10	2699.24524778	2683.56427107	0.001	200	50	0.1	4625	2	300
11	2696.35672172	2682.16378522	0.001	200	50	0.1	4625	2	300
12	2694.00283359	2679.05636334	0.001	200	50	0.1	4625	2	300
13	2693.42206776	2686.82171386	0.001	200	50	0.1	4625	2	300
14	2689.99915914	2676.26808881	0.001	200	50	0.1	4625	2	300
15	2687.81627371	2677.22495388	0.001	200	50	0.1	4625	2	300
16	2686.26367888	2674.79380247	0.001	200	50	0.1	4625	2	300
17	2684.88115204	2673.71048936	0.001	200	50	0.1	4625	2	300
18	2683.64099294	2670.74680563	0.001	200	50	0.1	4625	2	300
19	2682.46143603	2669.73595328	0.001	200	50	0.1	4625	2	300
20	2681.41630357	2668.3114072	0.001	200	50	0.1	4625	2	300
21	2679.61226939	2666.36657411	0.001	200	50	0.1	4625	2	300
22	2678.74987815	2668.55918753	0.001	200	50	0.1	4625	2	300
23	2678.05538229	2664.92717467	0.001	200	50	0.1	4625	2	300
24	2676.53743711	2663.5932958	0.001	200	50	0.1	4625	2	300
25	2675.77322601	2663.60839517	0.001	200	50	0.1	4625	2	300
26	2675.56939186	2664.35535858	0.001	200	50	0.1	4625	2	300
27	2674.80234214	2663.06675962	0.001	200	50	0.1	4625	2	300
28	2674.02053274	2662.09862301	0.001	200	50	0.1	4625	2	300
29	2673.14210266	2660.87605965	0.001	200	50	0.1	4625	2	300
30	2672.45207016	2660.9193575	0.001	200	50	0.1	4625	2	300
31	2672.03222555	2658.73283593	0.001	200	50	0.1	4625	2	300
32	2671.49849223	2658.77340856	0.001	200	50	0.1	4625	2	300
33	2670.09783897	2658.74163433	0.001	200	50	0.1	4625	2	300
34	2669.86780303	2658.23391986	0.001	200	50	0.1	4625	2	300
35	2670.09380094	2656.26309163	0.001	200	50	0.1	4625	2	300
36	2668.90618895	2657.54264105	0.001	200	50	0.1	4625	2	300
37	2668.49507852	2655.9569813	0.001	200	50	0.1	4625	2	300
38	2668.2041288	2655.93565471	0.001	200	50	0.1	4625	2	300
39	2668.33781831	2656.31465339	0.001	200	50	0.1	4625	2	300
40	2667.72085926	2656.78236007	0.001	200	50	0.1	4625	2	300
41	2667.2670984	2654.72539641	0.001	200	50	0.1	4625	2	300
42	2666.60398653	2655.01028892	0.001	200	50	0.1	4625	2	300
43	2666.41037025	2654.32653785	0.001	200	50	0.1	4625	2	300
44	2665.70282211	2654.09323464	0.001	200	50	0.1	4625	2	300
45	2665.45922795	2653.99908366	0.001	200	50	0.1	4625	2	300
46	2666.50498197	2652.7987511	0.001	200	50	0.1	4625	2	300
47	2665.21197919	2656.583392	0.001	200	50	0.1	4625	2	300
48	2665.46392679	2652.78781846	0.001	200	50	0.1	4625	2	300
49	2664.56460758	2654.96642716	0.001	200	50	0.1	4625	2	300
