geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0099536	synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099536	324	64	21.172277227722773	3.0228208005985784	0	0	114;477;816;1141;1607;1740;1837;2565;2670;2890;2891;2894;2898;2899;2900;2901;2913;3745;3785;3798;4130;4137;4857;5354;6327;6506;6547;6616;6620;6853;6855;6860;6900;7143;8499;8927;9211;9378;9379;9900;10718;11170;22871;22986;23025;23208;23237;26045;54413;56853;57468;57689;59284;79608;84258;84446;84502;85445;112476;112755;114088;124925;148281;729956	JPH4;BSN;GFAP;CACNG7;SYT11;GABRG1;SYP;TNR;GRM3;ATP1A2;NOVA1;SNAP25;NRXN2;CNTN2;SEZ6;DLG2;FAM107A;GRIA2;SHISA7;KCNB1;SLC12A5;DTNA;NLGN3;KCNQ2;GRIK4;KIF5A;SORCS3;MAPT;SYT6;GRIA1;DGKB;LGI1;PLP1;NRXN1;MAP1A;PPFIA2;GRIK2;SYT4;LRRTM2;LRRC4C;SLC8A3;NLGN1;GRID1;GRIK3;TRIM9;SV2A;STX1B;RIC3;NRG3;GRIK5;PRRT2;SNCB;CELF4;ADCY8;SYN1;UNC13A;SLC1A2;CAMK2B;CNTNAP4;SYT3;BRSK1;CHRNB2;SCN2B;ARC
GO:0099537	trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099537	323	64	21.10693069306931	3.0321793789286047	0	0	114;477;816;1141;1607;1740;1837;2565;2670;2890;2891;2894;2898;2899;2900;2901;2913;3745;3785;3798;4130;4137;4857;5354;6327;6506;6547;6616;6620;6853;6855;6860;6900;7143;8499;8927;9211;9378;9379;9900;10718;11170;22871;22986;23025;23208;23237;26045;54413;56853;57468;57689;59284;79608;84258;84446;84502;85445;112476;112755;114088;124925;148281;729956	JPH4;BSN;GFAP;CACNG7;SYT11;GABRG1;SYP;TNR;GRM3;ATP1A2;NOVA1;SNAP25;NRXN2;CNTN2;SEZ6;DLG2;FAM107A;GRIA2;SHISA7;KCNB1;SLC12A5;DTNA;NLGN3;KCNQ2;GRIK4;KIF5A;SORCS3;MAPT;SYT6;GRIA1;DGKB;LGI1;PLP1;NRXN1;MAP1A;PPFIA2;GRIK2;SYT4;LRRTM2;LRRC4C;SLC8A3;NLGN1;GRID1;GRIK3;TRIM9;SV2A;STX1B;RIC3;NRG3;GRIK5;PRRT2;SNCB;CELF4;ADCY8;SYN1;UNC13A;SLC1A2;CAMK2B;CNTNAP4;SYT3;BRSK1;CHRNB2;SCN2B;ARC
GO:0007268	chemical synaptic transmission	http://amigo.geneontology.org/amigo/term/GO:0007268	320	64	20.91089108910891	3.0606060606060606	0	0	114;477;816;1141;1607;1740;1837;2565;2670;2890;2891;2894;2898;2899;2900;2901;2913;3745;3785;3798;4130;4137;4857;5354;6327;6506;6547;6616;6620;6853;6855;6860;6900;7143;8499;8927;9211;9378;9379;9900;10718;11170;22871;22986;23025;23208;23237;26045;54413;56853;57468;57689;59284;79608;84258;84446;84502;85445;112476;112755;114088;124925;148281;729956	JPH4;BSN;GFAP;CACNG7;SYT11;GABRG1;SYP;TNR;GRM3;ATP1A2;NOVA1;SNAP25;NRXN2;CNTN2;SEZ6;DLG2;FAM107A;GRIA2;SHISA7;KCNB1;SLC12A5;DTNA;NLGN3;KCNQ2;GRIK4;KIF5A;SORCS3;MAPT;SYT6;GRIA1;DGKB;LGI1;PLP1;NRXN1;MAP1A;PPFIA2;GRIK2;SYT4;LRRTM2;LRRC4C;SLC8A3;NLGN1;GRID1;GRIK3;TRIM9;SV2A;STX1B;RIC3;NRG3;GRIK5;PRRT2;SNCB;CELF4;ADCY8;SYN1;UNC13A;SLC1A2;CAMK2B;CNTNAP4;SYT3;BRSK1;CHRNB2;SCN2B;ARC
GO:0098916	anterograde trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0098916	320	64	20.91089108910891	3.0606060606060606	0	0	114;477;816;1141;1607;1740;1837;2565;2670;2890;2891;2894;2898;2899;2900;2901;2913;3745;3785;3798;4130;4137;4857;5354;6327;6506;6547;6616;6620;6853;6855;6860;6900;7143;8499;8927;9211;9378;9379;9900;10718;11170;22871;22986;23025;23208;23237;26045;54413;56853;57468;57689;59284;79608;84258;84446;84502;85445;112476;112755;114088;124925;148281;729956	JPH4;BSN;GFAP;CACNG7;SYT11;GABRG1;SYP;TNR;GRM3;ATP1A2;NOVA1;SNAP25;NRXN2;CNTN2;SEZ6;DLG2;FAM107A;GRIA2;SHISA7;KCNB1;SLC12A5;DTNA;NLGN3;KCNQ2;GRIK4;KIF5A;SORCS3;MAPT;SYT6;GRIA1;DGKB;LGI1;PLP1;NRXN1;MAP1A;PPFIA2;GRIK2;SYT4;LRRTM2;LRRC4C;SLC8A3;NLGN1;GRID1;GRIK3;TRIM9;SV2A;STX1B;RIC3;NRG3;GRIK5;PRRT2;SNCB;CELF4;ADCY8;SYN1;UNC13A;SLC1A2;CAMK2B;CNTNAP4;SYT3;BRSK1;CHRNB2;SCN2B;ARC
GO:0050808	synapse organization	http://amigo.geneontology.org/amigo/term/GO:0050808	183	46	11.95841584158416	3.846663354860076	1.1102230246251565e-16	1.3580248037214915e-13	816;1141;1496;1501;1607;1740;1826;2596;2823;4137;4916;5064;6585;6620;6853;6900;7143;8499;8927;9378;9379;10810;22865;22866;22871;23025;23237;23544;23769;26045;54413;54674;56098;57689;63827;79012;84631;85445;92737;94030;114798;116442;124925;347731;375323;729956	BSN;GPM6A;LRRTM3;NTRK3;TNR;LRRC4B;NRXN2;SEZ6L;CNTN2;SEZ6;DLG2;SHISA7;NLGN3;CTNNA2;PCDHGC4;MAPT;DGKB;NRXN1;PPFIA2;SLITRK1;LRRTM2;CTNND2;LRRC4C;LRRN3;FLRT1;NLGN1;WASF3;SLITRK2;LHFPL4;RAB39B;CNKSR2;SNCB;SLIT1;BCAN;SYN1;UNC13A;DNER;DSCAM;CAMK2B;CNTNAP4;PALM;GAP43;SLITRK3;CHRNB2;CAMKV;ARC
GO:0050804	modulation of chemical synaptic transmission	http://amigo.geneontology.org/amigo/term/GO:0050804	207	44	13.526732673267327	3.252818035426731	4.701794509287538e-13	4.792695869800431e-10	114;477;816;1141;1607;2670;2890;2894;2898;2899;2900;2901;2913;3745;4130;4137;6547;6616;6853;6855;6860;6900;7143;8499;9211;9378;10718;11170;22871;22986;23025;23208;23237;26045;54413;56853;57689;59284;84446;84502;85445;112476;112755;729956	JPH4;GFAP;CACNG7;SYT11;SYP;TNR;GRM3;ATP1A2;SNAP25;CNTN2;FAM107A;SHISA7;KCNB1;NLGN3;GRIK4;SORCS3;MAPT;GRIA1;DGKB;LGI1;NRXN1;MAP1A;PPFIA2;GRIK2;SYT4;LRRTM2;LRRC4C;SLC8A3;NLGN1;GRID1;GRIK3;STX1B;NRG3;GRIK5;PRRT2;CELF4;ADCY8;SYN1;UNC13A;CAMK2B;CNTNAP4;BRSK1;CHRNB2;ARC
GO:0099177	regulation of trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099177	208	44	13.592079207920793	3.237179487179487	5.631051180898794e-13	4.919929860339575e-10	114;477;816;1141;1607;2670;2890;2894;2898;2899;2900;2901;2913;3745;4130;4137;6547;6616;6853;6855;6860;6900;7143;8499;9211;9378;10718;11170;22871;22986;23025;23208;23237;26045;54413;56853;57689;59284;84446;84502;85445;112476;112755;729956	JPH4;GFAP;CACNG7;SYT11;SYP;TNR;GRM3;ATP1A2;SNAP25;CNTN2;FAM107A;SHISA7;KCNB1;NLGN3;GRIK4;SORCS3;MAPT;GRIA1;DGKB;LGI1;NRXN1;MAP1A;PPFIA2;GRIK2;SYT4;LRRTM2;LRRC4C;SLC8A3;NLGN1;GRID1;GRIK3;STX1B;NRG3;GRIK5;PRRT2;CELF4;ADCY8;SYN1;UNC13A;CAMK2B;CNTNAP4;BRSK1;CHRNB2;ARC
GO:0030182	neuron differentiation	http://amigo.geneontology.org/amigo/term/GO:0030182	478	71	31.235643564356437	2.2730442500316976	2.697286838326818e-12	2.0620757879008522e-9	816;1141;1400;1496;1501;1641;1826;1910;2596;2670;2775;2823;3798;3800;4099;4130;4131;4133;4135;4137;4504;4684;4916;4974;4978;5354;5454;6456;6585;6616;6853;6860;6900;7143;7732;8153;9211;9378;9745;10215;22865;22871;23017;23025;23040;23237;23418;23769;26038;30812;50804;51286;54413;56896;57282;57453;57468;57689;57731;59284;81551;84258;84446;84631;85300;112755;114798;116448;124925;161357;166614	DCLK2;CRB1;STMN4;ATCAY;GPM6A;GFAP;CACNG7;NTRK3;TNR;NCAM1;RND2;SPTBN4;SNAP25;CEND1;CNTN2;SEZ6;MAP6;SLC12A5;MYT1L;NLGN3;RNF112;CTNNA2;KIF5A;MAPT;DCX;OLIG2;CRMP1;LGI1;KIF5C;PLP1;OPCML;NRXN1;MAP1A;SLITRK1;GNAO1;DPYSL5;OLIG1;MT3;MAP2;SH3GL2;SOX8;SYT4;CTNND2;LRRC4C;FLRT1;NLGN1;CHD5;SLITRK2;MAP1B;DSCAML1;MAG;STX1B;POU3F2;ZNF536;OMG;SLC4A10;SLIT1;FAIM2;SYN1;UNC13A;EDNRB;DSCAM;CAMK2B;SYT3;BRSK1;GAP43;SLITRK3;CHRNB2;MDGA2;MYEF2;ARC
GO:0048666	neuron development	http://amigo.geneontology.org/amigo/term/GO:0048666	387	61	25.28910891089109	2.412105551640435	1.1107337272164841e-11	7.548052750728907e-9	816;1141;1400;1496;1501;1641;1826;1910;2596;2670;2775;2823;3798;3800;4099;4130;4131;4133;4135;4137;4504;4684;4916;4974;4978;5354;5454;6456;6585;6616;6853;6860;6900;7143;8153;9211;9378;22865;22871;23025;23040;23237;23418;23769;54413;56896;57282;57453;57468;57689;57731;59284;81551;84258;84446;84631;85300;112755;114798;124925;166614	DCLK2;CRB1;STMN4;ATCAY;GPM6A;GFAP;CACNG7;NTRK3;TNR;NCAM1;RND2;SPTBN4;SNAP25;CNTN2;SEZ6;MAP6;SLC12A5;MYT1L;NLGN3;CTNNA2;KIF5A;MAPT;DCX;CRMP1;LGI1;KIF5C;PLP1;OPCML;NRXN1;MAP1A;SLITRK1;GNAO1;DPYSL5;MT3;MAP2;SH3GL2;SYT4;CTNND2;LRRC4C;FLRT1;NLGN1;SLITRK2;MAP1B;DSCAML1;MAG;STX1B;POU3F2;OMG;SLC4A10;SLIT1;SYN1;UNC13A;EDNRB;DSCAM;CAMK2B;SYT3;BRSK1;GAP43;SLITRK3;CHRNB2;ARC
GO:0051668	localization within membrane	http://amigo.geneontology.org/amigo/term/GO:0051668	46	19	3.005940594059406	6.320816864295125	1.3745005134069288e-11	8.406445139996777e-9	1740;2898;2901;3798;3800;6616;9211;9378;9379;22871;23237;50632;51308;56899;59284;112755;146395;375323;729956	CACNG7;ANKS1B;SNAP25;NRXN2;DLG2;GSG1L;SHISA7;KIF5A;LGI1;KIF5C;NRXN1;REEP2;GRIK2;NLGN1;LHFPL4;STX1B;GRIK5;CALY;ARC
