userId	geneSymbol	geneName	entrezgene	gLink
ATP6V1G2	ATP6V1G2	ATPase H+ transporting V1 subunit G2	534	https://www.ncbi.nlm.nih.gov/gene/?term=534
ATP1B2	ATP1B2	ATPase Na+/K+ transporting subunit beta 2	482	https://www.ncbi.nlm.nih.gov/gene/?term=482
DCLK2	DCLK2	doublecortin like kinase 2	166614	https://www.ncbi.nlm.nih.gov/gene/?term=166614
CYP46A1	CYP46A1	cytochrome P450 family 46 subfamily A member 1	10858	https://www.ncbi.nlm.nih.gov/gene/?term=10858
ELAVL3	ELAVL3	ELAV like RNA binding protein 3	1995	https://www.ncbi.nlm.nih.gov/gene/?term=1995
NAP1L3	NAP1L3	nucleosome assembly protein 1 like 3	4675	https://www.ncbi.nlm.nih.gov/gene/?term=4675
NRSN1	NRSN1	neurensin 1	140767	https://www.ncbi.nlm.nih.gov/gene/?term=140767
CRB1	CRB1	crumbs cell polarity complex component 1	23418	https://www.ncbi.nlm.nih.gov/gene/?term=23418
JPH4	JPH4	junctophilin 4	84502	https://www.ncbi.nlm.nih.gov/gene/?term=84502
BSN	BSN	bassoon presynaptic cytomatrix protein	8927	https://www.ncbi.nlm.nih.gov/gene/?term=8927
GDAP1L1	GDAP1L1	ganglioside induced differentiation associated protein 1 like 1	78997	https://www.ncbi.nlm.nih.gov/gene/?term=78997
STMN4	STMN4	stathmin 4	81551	https://www.ncbi.nlm.nih.gov/gene/?term=81551
ATCAY	ATCAY	ATCAY, caytaxin	85300	https://www.ncbi.nlm.nih.gov/gene/?term=85300
ASTN1	ASTN1	astrotactin 1	460	https://www.ncbi.nlm.nih.gov/gene/?term=460
TCEAL5	TCEAL5	transcription elongation factor A like 5	340543	https://www.ncbi.nlm.nih.gov/gene/?term=340543
ZDHHC22	ZDHHC22	zinc finger DHHC-type containing 22	283576	https://www.ncbi.nlm.nih.gov/gene/?term=283576
GPM6A	GPM6A	glycoprotein M6A	2823	https://www.ncbi.nlm.nih.gov/gene/?term=2823
FXYD6	FXYD6	FXYD domain containing ion transport regulator 6	53826	https://www.ncbi.nlm.nih.gov/gene/?term=53826
UNC80	UNC80	unc-80 homolog, NALCN channel complex subunit	285175	https://www.ncbi.nlm.nih.gov/gene/?term=285175
GFAP	GFAP	glial fibrillary acidic protein	2670	https://www.ncbi.nlm.nih.gov/gene/?term=2670
CACNG7	CACNG7	calcium voltage-gated channel auxiliary subunit gamma 7	59284	https://www.ncbi.nlm.nih.gov/gene/?term=59284
MAPK8IP1	MAPK8IP1	mitogen-activated protein kinase 8 interacting protein 1	9479	https://www.ncbi.nlm.nih.gov/gene/?term=9479
ADCYAP1R1	ADCYAP1R1	ADCYAP receptor type I	117	https://www.ncbi.nlm.nih.gov/gene/?term=117
LRRTM3	LRRTM3	leucine rich repeat transmembrane neuronal 3	347731	https://www.ncbi.nlm.nih.gov/gene/?term=347731
DPP6	DPP6	dipeptidyl peptidase like 6	1804	https://www.ncbi.nlm.nih.gov/gene/?term=1804
HAPLN2	HAPLN2	hyaluronan and proteoglycan link protein 2	60484	https://www.ncbi.nlm.nih.gov/gene/?term=60484
PSD2	PSD2	pleckstrin and Sec7 domain containing 2	84249	https://www.ncbi.nlm.nih.gov/gene/?term=84249
PDZD4	PDZD4	PDZ domain containing 4	57595	https://www.ncbi.nlm.nih.gov/gene/?term=57595
SYT11	SYT11	synaptotagmin 11	23208	https://www.ncbi.nlm.nih.gov/gene/?term=23208
GABRG1	GABRG1	gamma-aminobutyric acid type A receptor gamma1 subunit	2565	https://www.ncbi.nlm.nih.gov/gene/?term=2565
SLC35F1	SLC35F1	solute carrier family 35 member F1	222553	https://www.ncbi.nlm.nih.gov/gene/?term=222553
ACTL6B	ACTL6B	actin like 6B	51412	https://www.ncbi.nlm.nih.gov/gene/?term=51412
SCG3	SCG3	secretogranin III	29106	https://www.ncbi.nlm.nih.gov/gene/?term=29106
SLC7A14	SLC7A14	solute carrier family 7 member 14	57709	https://www.ncbi.nlm.nih.gov/gene/?term=57709
SCRT1	SCRT1	scratch family transcriptional repressor 1	83482	https://www.ncbi.nlm.nih.gov/gene/?term=83482
CMTM5	CMTM5	CKLF like MARVEL transmembrane domain containing 5	116173	https://www.ncbi.nlm.nih.gov/gene/?term=116173
SYP	SYP	synaptophysin	6855	https://www.ncbi.nlm.nih.gov/gene/?term=6855
SLC22A17	SLC22A17	solute carrier family 22 member 17	51310	https://www.ncbi.nlm.nih.gov/gene/?term=51310
FMN2	FMN2	formin 2	56776	https://www.ncbi.nlm.nih.gov/gene/?term=56776
BEX1	BEX1	brain expressed X-linked 1	55859	https://www.ncbi.nlm.nih.gov/gene/?term=55859
NTRK3	NTRK3	neurotrophic receptor tyrosine kinase 3	4916	https://www.ncbi.nlm.nih.gov/gene/?term=4916
CLIP3	CLIP3	CAP-Gly domain containing linker protein 3	25999	https://www.ncbi.nlm.nih.gov/gene/?term=25999
TNR	TNR	tenascin R	7143	https://www.ncbi.nlm.nih.gov/gene/?term=7143
KCNIP1	KCNIP1	potassium voltage-gated channel interacting protein 1	30820	https://www.ncbi.nlm.nih.gov/gene/?term=30820
GRM3	GRM3	glutamate metabotropic receptor 3	2913	https://www.ncbi.nlm.nih.gov/gene/?term=2913
ATP1A2	ATP1A2	ATPase Na+/K+ transporting subunit alpha 2	477	https://www.ncbi.nlm.nih.gov/gene/?term=477
