userid	genesymbol	genename	entrezgene
HOTAIR	HOTAIR	HOX transcript antisense RNA	100124700
CLEC3A	CLEC3A	C-type lectin domain family 3 member A	10143
CSAG2	CSAG2	CSAG family member 2	102723547
CRISP3	CRISP3	cysteine rich secretory protein 3	10321
CEACAM5	CEACAM5	carcinoembryonic antigen related cell adhesion molecule 5	1048
CAPN9	CAPN9	calpain 9	10753
CEACAM7	CEACAM7	carcinoembryonic antigen related cell adhesion molecule 7	1087
ANXA10	ANXA10	annexin A10	11199
KLK8	KLK8	kallikrein related peptidase 8	11202
SLC6A14	SLC6A14	solute carrier family 6 member 14	11254
CYP4F8	CYP4F8	cytochrome P450 family 4 subfamily F member 8	11283
CHRNA1	CHRNA1	cholinergic receptor nicotinic alpha 1 subunit	1134
PGLYRP3	PGLYRP3	peptidoglycan recognition protein 3	114771
IL22RA2	IL22RA2	interleukin 22 receptor subunit alpha 2	116379
SCGB3A2	SCGB3A2	secretoglobin family 3A member 2	117156
MUCL1	MUCL1	mucin like 1	118430
PLA2G4E	PLA2G4E	phospholipase A2 group IVE	123745
GGT6	GGT6	gamma-glutamyltransferase 6	124975
WFDC12	WFDC12	WAP four-disulfide core domain 12	128488
C20orf85	C20orf85	chromosome 20 open reading frame 85	128602
COL10A1	COL10A1	collagen type X alpha 1 chain	1300
COL11A1	COL11A1	collagen type XI alpha 1 chain	1301
COMP	COMP	cartilage oligomeric matrix protein	1311
LRRC15	LRRC15	leucine rich repeat containing 15	131578
SNTN	SNTN	sentan, cilia apical structure protein	132203
CAPSL	CAPSL	calcyphosine like	133690
MUC17	MUC17	mucin 17, cell surface associated	140453
CSF2	CSF2	colony stimulating factor 2	1437
CST1	CST1	cystatin SN	1469
CST4	CST4	cystatin S	1472
IGFL2	IGFL2	IGF like family member 2	147920
NKX2-5	NKX2-5	NK2 homeobox 5	1482
WFDC5	WFDC5	WAP four-disulfide core domain 5	149708
SMYD1	SMYD1	SET and MYND domain containing 1	150572
RAET1L	RAET1L	retinoic acid early transcript 1L	154064
AGR3	AGR3	anterior gradient 3, protein disulphide isomerase family member	155465
CSAG1	CSAG1	chondrosarcoma associated gene 1	158511
DSC1	DSC1	desmocollin 1	1823
DSG3	DSG3	desmoglein 3	1830
EPYC	EPYC	epiphycan	1833
B3GNT6	B3GNT6	UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 6	192134
SDR16C5	SDR16C5	short chain dehydrogenase/reductase family 16C member 5	195814
EN1	EN1	engrailed homeobox 1	2019
SFTA1P	SFTA1P	surfactant associated 1, pseudogene	207107
FABP6	FABP6	fatty acid binding protein 6	2172
FAP	FAP	fibroblast activation protein alpha	2191
MS4A15	MS4A15	membrane spanning 4-domains A15	219995
SPERT	SPERT	spermatid associated	220082
CASP14	CASP14	caspase 14	23581
CBLC	CBLC	Cbl proto-oncogene C	23624
ALPP	ALPP	alkaline phosphatase, placental	250
ALPPL2	ALPPL2	alkaline phosphatase, placental like 2	251
SFTA3	SFTA3	surfactant associated 3	253970
C11orf86	C11orf86	chromosome 11 open reading frame 86	254439
SLC24A2	SLC24A2	solute carrier family 24 member 2	25769
KLK5	KLK5	kallikrein related peptidase 5	25818
PRSS33	PRSS33	protease, serine 33	260429
GREM1	GREM1	gremlin 1, DAN family BMP antagonist	26585
TINAG	TINAG	tubulointerstitial nephritis antigen	27283
SPINK4	SPINK4	serine peptidase inhibitor, Kazal type 4	27290
GP2	GP2	glycoprotein 2	2813
SLCO1B3	SLCO1B3	solute carrier organic anion transporter family member 1B3	28234
GPR1	GPR1	G protein-coupled receptor 1	2825
LGALS9B	LGALS9B	galectin 9B	284194
KLK9	KLK9	kallikrein related peptidase 9	284366
KRT6C	KRT6C	keratin 6C	286887
C6orf15	C6orf15	chromosome 6 open reading frame 15	29113
GRP	GRP	gastrin releasing peptide	2922
ANXA13	ANXA13	annexin A13	312
HOXC11	HOXC11	homeobox C11	3227
HOXC13	HOXC13	homeobox C13	3229
APCS	APCS	amyloid P component, serum	325
IBSP	IBSP	integrin binding sialoprotein	3381
S100A7A	S100A7A	S100 calcium binding protein A7A	338324
C2orf70	C2orf70	chromosome 2 open reading frame 70	339778
C11orf53	C11orf53	chromosome 11 open reading frame 53	341032
MOGAT3	MOGAT3	monoacylglycerol O-acyltransferase 3	346606
INHBA	INHBA	inhibin beta A subunit	3624
PDX1	PDX1	pancreatic and duodenal homeobox 1	3651
ITGB6	ITGB6	integrin subunit beta 6	3694
KCNA1	KCNA1	potassium voltage-gated channel subfamily A member 1	3736
IGFL1	IGFL1	IGF like family member 1	374918
KRT6A	KRT6A	keratin 6A	3853
KRT6B	KRT6B	keratin 6B	3854
KRT9	KRT9	keratin 9	3857
KRT16	KRT16	keratin 16	3868
C10orf99	C10orf99	chromosome 10 open reading frame 99	387695
KRT31	KRT31	keratin 31	3881
KRTDAP	KRTDAP	keratinocyte differentiation associated protein	388533
LDLRAD1	LDLRAD1	low density lipoprotein receptor class A domain containing 1	388633
CAPN8	CAPN8	calpain 8	388743
C5orf46	C5orf46	chromosome 5 open reading frame 46	389336
SFTA2	SFTA2	surfactant associated 2	389376
CSAG3	CSAG3	CSAG family member 3	389903
LGALS7	LGALS7	galectin 7	3963
LHX1	LHX1	LIM homeobox 1	3975
KPNA7	KPNA7	karyopherin subunit alpha 7	402569
MAGEA1	MAGEA1	MAGE family member A1	4100
MAGEA2	MAGEA2	MAGE family member A2	4101
MAGEA3	MAGEA3	MAGE family member A3	4102
MAGEA4	MAGEA4	MAGE family member A4	4103
MAGEA6	MAGEA6	MAGE family member A6	4105
MAGEA11	MAGEA11	MAGE family member A11	4110
MAGEA12	MAGEA12	MAGE family member A12	4111
SCGB2A1	SCGB2A1	secretoglobin family 2A member 1	4246
SCGB2A2	SCGB2A2	secretoglobin family 2A member 2	4250
MMP1	MMP1	matrix metallopeptidase 1	4312
MMP3	MMP3	matrix metallopeptidase 3	4314
MMP8	MMP8	matrix metallopeptidase 8	4317
MMP10	MMP10	matrix metallopeptidase 10	4319
MMP12	MMP12	matrix metallopeptidase 12	4321
MMP13	MMP13	matrix metallopeptidase 13	4322
KLK12	KLK12	kallikrein related peptidase 12	43849
AKR1B15	AKR1B15	aldo-keto reductase family 1 member B15	441282
MUC2	MUC2	mucin 2, oligomeric mucus/gel-forming	4583
MYBPC1	MYBPC1	myosin binding protein C, slow type	4604
NKX6-1	NKX6-1	NK6 homeobox 1	4825
NTF4	NTF4	neurotrophin 4	4909
PAEP	PAEP	progestagen associated endometrial protein	5047
NOX4	NOX4	NADPH oxidase 4	50507
IL20	IL20	interleukin 20	50604
REG3A	REG3A	regenerating family member 3 alpha	5068
PAX1	PAX1	paired box 1	5075
