geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0043269	regulation of ion transport	http://amigo.geneontology.org/amigo/term/GO:0043269	303	14	5.3999999999999995	2.592592592592593	7.3221067167617e-4	1	610;1137;1908;2147;3745;3761;3785;4923;8529;9022;50944;59284;84258;128414	CHRNA4;KCNJ4;NKAIN4;CYP4F2;F2;CLIC3;KCNB1;HCN2;SYT3;NTSR1;SHANK1;EDN3;KCNQ2;CACNG7
GO:0031646	positive regulation of neurological system process	http://amigo.geneontology.org/amigo/term/GO:0031646	31	4	0.5524752475247524	7.2401433691756285	0.002028409296477962	1	4099;4923;7143;50944	TNR;MAG;NTSR1;SHANK1
GO:0061844	antimicrobial humoral immune response mediated by antimicrobial peptide	http://amigo.geneontology.org/amigo/term/GO:0061844	32	4	0.5702970297029702	7.013888888888889	0.0022872671216985774	1	2147;5068;25818;84659	RNASE7;F2;REG3A;KLK5
GO:0001558	regulation of cell growth	http://amigo.geneontology.org/amigo/term/GO:0001558	137	8	2.4415841584158415	3.2765612327656126	0.0027309372224935125	1	1002;2147;3172;4099;7143;54825;59284;84258	TNR;HNF4A;MAG;F2;SYT3;CDHR2;CDH4;CACNG7
GO:0007635	chemosensory behavior	http://amigo.geneontology.org/amigo/term/GO:0007635	5	2	0.0891089108910891	22.444444444444446	0.00302559053861029	1	5582;50944	PRKCG;SHANK1
GO:0021695	cerebellar cortex development	http://amigo.geneontology.org/amigo/term/GO:0021695	17	3	0.30297029702970296	9.901960784313726	0.0030851867161759694	1	3975;23544;85442	SEZ6L;LHX1;KNDC1
GO:0051968	positive regulation of synaptic transmission, glutamatergic	http://amigo.geneontology.org/amigo/term/GO:0051968	17	3	0.30297029702970296	9.901960784313726	0.0030851867161759694	1	7143;50944;59284	TNR;SHANK1;CACNG7
GO:0034765	regulation of ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034765	206	10	3.671287128712871	2.7238403451995685	0.00318827240765418	1	610;1908;2147;3745;3761;3785;4923;9022;50944;59284	KCNJ4;F2;CLIC3;KCNB1;HCN2;NTSR1;SHANK1;EDN3;KCNQ2;CACNG7
GO:0015837	amine transport	http://amigo.geneontology.org/amigo/term/GO:0015837	59	5	1.0514851485148513	4.755178907721281	0.003705490774636444	1	1137;3745;4923;7054;84258	CHRNA4;KCNB1;SYT3;NTSR1;TH
GO:0050885	neuromuscular process controlling balance	http://amigo.geneontology.org/amigo/term/GO:0050885	19	3	0.3386138613861386	8.859649122807019	0.004285513645631234	1	7143;50944;124590	TNR;USH1G;SHANK1
