geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0006955	immune response	http://amigo.geneontology.org/amigo/term/GO:0006955	441	29	5.37537313432836	5.39497431625712	2.22044604925031e-16	1.29540822513263e-12	325;356;925;2244;2999;3001;3002;3273;3458;3620;3627;3822;3824;3902;4283;5133;5551;6355;6373;9447;10537;10563;29126;56253;79931;81030;84174;115362;257101	UBD;CXCL13;GBP5;FGB;ZNF683;CD274;GZMH;GZMA;GZMB;APCS;HRG;IFNG;FASLG;IDO1;CXCL10;KLRC2;KLRD1;LAG3;CXCL9;PDCD1;PRF1;CRTAM;CCL8;CXCL11;TNIP3;ZBP1;SLA2;CD8A;AIM2
GO:0006952	defense response	http://amigo.geneontology.org/amigo/term/GO:0006952	466	29	5.68009950248756	5.10554436366821	9.99200722162641e-16	2.91466850654842e-12	325;922;925;1401;2244;3002;3273;3458;3620;3627;3822;3823;3824;3902;4283;5551;6289;6291;6355;6373;9447;10537;10563;10663;56253;79931;81030;115362;257101	UBD;CXCL13;CXCR6;GBP5;CRP;FGB;ZNF683;GZMB;APCS;HRG;IFNG;IDO1;CXCL10;KLRC2;KLRC3;KLRD1;LAG3;CXCL9;PRF1;CRTAM;SAA2;SAA4;CCL8;CXCL11;TNIP3;ZBP1;CD5L;CD8A;AIM2
GO:0002682	regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002682	373	21	4.54651741293532	4.6189199540406	4.11767508978755e-10	8.00750549127353e-07	325;925;3273;3458;3620;3627;3824;3902;4283;5133;6373;9447;10563;29126;55423;56253;79931;84174;115362;201633;257101	CXCL13;GBP5;TIGIT;ZNF683;CD274;APCS;HRG;IFNG;IDO1;CXCL10;KLRD1;LAG3;CXCL9;PDCD1;SIRPG;CRTAM;CXCL11;TNIP3;SLA2;CD8A;AIM2
GO:0009607	response to biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0009607	225	16	2.74253731343284	5.83401360544218	3.51126994146966e-09	5.1211872096335e-06	356;925;1401;2244;3273;3458;3620;3627;4283;5551;6355;6373;9447;10563;56253;79931	CXCL13;CRP;FGB;HRG;IFNG;FASLG;IDO1;CXCL10;CXCL9;PRF1;CRTAM;CCL8;CXCL11;TNIP3;CD8A;AIM2
GO:0045087	innate immune response	http://amigo.geneontology.org/amigo/term/GO:0045087	207	15	2.52313432835821	5.94498669032831	9.54738310632308e-09	1.05055925186578e-05	325;2244;3002;3458;3822;3824;3902;6355;9447;10537;56253;79931;81030;115362;257101	UBD;GBP5;FGB;ZNF683;GZMB;APCS;IFNG;KLRC2;KLRD1;LAG3;CRTAM;CCL8;TNIP3;ZBP1;AIM2
GO:0002252	immune effector process	http://amigo.geneontology.org/amigo/term/GO:0002252	177	14	2.15746268656716	6.48910411622276	1.08045175029048e-08	1.05055925186578e-05	925;1401;3002;3458;3627;3822;3824;3902;4283;5551;9447;56253;84174;257101	CRP;ZNF683;GZMB;IFNG;CXCL10;KLRC2;KLRD1;LAG3;CXCL9;PRF1;CRTAM;SLA2;CD8A;AIM2
GO:0051707	response to other organism	http://amigo.geneontology.org/amigo/term/GO:0051707	218	15	2.65721393034826	5.64501029769706	1.94575813239339e-08	1.51064495711173e-05	356;925;1401;2244;3273;3458;3620;3627;4283;5551;6355;6373;9447;10563;79931	CXCL13;CRP;FGB;HRG;IFNG;FASLG;IDO1;CXCL10;CXCL9;PRF1;CCL8;CXCL11;TNIP3;CD8A;AIM2
GO:0043207	response to external biotic stimulus	http://amigo.geneontology.org/amigo/term/GO:0043207	219	15	2.66940298507463	5.61923399496785	2.07150491204899e-08	1.51064495711173e-05	356;925;1401;2244;3273;3458;3620;3627;4283;5551;6355;6373;9447;10563;79931	CXCL13;CRP;FGB;HRG;IFNG;FASLG;IDO1;CXCL10;CXCL9;PRF1;CCL8;CXCL11;TNIP3;CD8A;AIM2
GO:0002684	positive regulation of immune system process	http://amigo.geneontology.org/amigo/term/GO:0002684	261	16	3.18134328358209	5.02932207365705	3.03733626028091e-08	1.96886886027542e-05	3273;3458;3620;3627;3902;4283;5133;6373;9447;10563;29126;55423;56253;79931;84174;115362	CXCL13;GBP5;CD274;HRG;IFNG;IDO1;CXCL10;LAG3;CXCL9;PDCD1;SIRPG;CRTAM;CXCL11;TNIP3;SLA2;AIM2
GO:0001775	cell activation	http://amigo.geneontology.org/amigo/term/GO:0001775	270	16	3.2910447761194	4.86167800453515	4.93083172070641e-08	2.87664722586012e-05	925;2244;3273;3458;3620;3627;3902;5133;5551;10537;29126;55423;56253;84174;201633;257101	UBD;TIGIT;FGB;ZNF683;CD274;HRG;IFNG;IDO1;CXCL10;LAG3;PDCD1;SIRPG;PRF1;CRTAM;SLA2;CD8A
