userId	geneSymbol	geneName	entrezgene	gLink
FEZF1	FEZF1	FEZ family zinc finger 1	389549	https://www.ncbi.nlm.nih.gov/gene/?term=389549
PTH2R	PTH2R	parathyroid hormone 2 receptor	5746	https://www.ncbi.nlm.nih.gov/gene/?term=5746
C12orf56	C12orf56	chromosome 12 open reading frame 56	115749	https://www.ncbi.nlm.nih.gov/gene/?term=115749
MAGEA9B	MAGEA9B	MAGE family member A9B	728269	https://www.ncbi.nlm.nih.gov/gene/?term=728269
LIN28B	LIN28B	lin-28 homolog B	389421	https://www.ncbi.nlm.nih.gov/gene/?term=389421
GJB7	GJB7	gap junction protein beta 7	375519	https://www.ncbi.nlm.nih.gov/gene/?term=375519
TRDN	TRDN	triadin	10345	https://www.ncbi.nlm.nih.gov/gene/?term=10345
C11orf53	C11orf53	chromosome 11 open reading frame 53	341032	https://www.ncbi.nlm.nih.gov/gene/?term=341032
POU6F2	POU6F2	POU class 6 homeobox 2	11281	https://www.ncbi.nlm.nih.gov/gene/?term=11281
ALX1	ALX1	ALX homeobox 1	8092	https://www.ncbi.nlm.nih.gov/gene/?term=8092
PRAME	PRAME	preferentially expressed antigen in melanoma	23532	https://www.ncbi.nlm.nih.gov/gene/?term=23532
DMRTA2	DMRTA2	DMRT like family A2	63950	https://www.ncbi.nlm.nih.gov/gene/?term=63950
DLX6	DLX6	distal-less homeobox 6	1750	https://www.ncbi.nlm.nih.gov/gene/?term=1750
SFTA3	SFTA3	surfactant associated 3	253970	https://www.ncbi.nlm.nih.gov/gene/?term=253970
NTS	NTS	neurotensin	4922	https://www.ncbi.nlm.nih.gov/gene/?term=4922
SFTPA1	SFTPA1	surfactant protein A1	653509	https://www.ncbi.nlm.nih.gov/gene/?term=653509
SIX3	SIX3	SIX homeobox 3	6496	https://www.ncbi.nlm.nih.gov/gene/?term=6496
HEPACAM2	HEPACAM2	HEPACAM family member 2	253012	https://www.ncbi.nlm.nih.gov/gene/?term=253012
POPDC3	POPDC3	popeye domain containing 3	64208	https://www.ncbi.nlm.nih.gov/gene/?term=64208
KLK12	KLK12	kallikrein related peptidase 12	43849	https://www.ncbi.nlm.nih.gov/gene/?term=43849
UGT3A1	UGT3A1	UDP glycosyltransferase family 3 member A1	133688	https://www.ncbi.nlm.nih.gov/gene/?term=133688
HOXD13	HOXD13	homeobox D13	3239	https://www.ncbi.nlm.nih.gov/gene/?term=3239
KCNB2	KCNB2	potassium voltage-gated channel subfamily B member 2	9312	https://www.ncbi.nlm.nih.gov/gene/?term=9312
SPRR2F	SPRR2F	small proline rich protein 2F	6705	https://www.ncbi.nlm.nih.gov/gene/?term=6705
SOX21	SOX21	SRY-box 21	11166	https://www.ncbi.nlm.nih.gov/gene/?term=11166
ZIC1	ZIC1	Zic family member 1	7545	https://www.ncbi.nlm.nih.gov/gene/?term=7545
SOX2	SOX2	SRY-box 2	6657	https://www.ncbi.nlm.nih.gov/gene/?term=6657
SLC6A15	SLC6A15	solute carrier family 6 member 15	55117	https://www.ncbi.nlm.nih.gov/gene/?term=55117
TDRD5	TDRD5	tudor domain containing 5	163589	https://www.ncbi.nlm.nih.gov/gene/?term=163589
NR0B1	NR0B1	nuclear receptor subfamily 0 group B member 1	190	https://www.ncbi.nlm.nih.gov/gene/?term=190
