	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	3123.42958093	3053.31417724	0.0005	200	25	1.0	3710	2
1	2905.11061241	2998.89347626	0.0005	200	25	1.0	3710	2
2	2846.43314471	2880.0375155	0.0005	200	25	1.0	3710	2
3	2813.79361906	2835.37969095	0.0005	200	25	1.0	3710	2
4	2794.81902963	2805.14176121	0.0005	200	25	1.0	3710	2
5	2781.98717928	2792.28514271	0.0005	200	25	1.0	3710	2
6	2772.47272758	2778.98226689	0.0005	200	25	1.0	3710	2
7	2764.83455399	2772.9072373	0.0005	200	25	1.0	3710	2
8	2757.81026738	2767.81752332	0.0005	200	25	1.0	3710	2
9	2752.31027942	2760.86516529	0.0005	200	25	1.0	3710	2
10	2747.1886563	2757.19614248	0.0005	200	25	1.0	3710	2
11	2741.81092446	2749.64015586	0.0005	200	25	1.0	3710	2
12	2737.81289465	2746.61155499	0.0005	200	25	1.0	3710	2
13	2734.46419484	2741.63624867	0.0005	200	25	1.0	3710	2
14	2730.96327874	2740.10385733	0.0005	200	25	1.0	3710	2
15	2728.18869873	2736.1682283	0.0005	200	25	1.0	3710	2
16	2724.82677806	2733.31883785	0.0005	200	25	1.0	3710	2
17	2722.14097724	2734.14356309	0.0005	200	25	1.0	3710	2
18	2720.05445397	2730.65457369	0.0005	200	25	1.0	3710	2
19	2717.34134444	2725.33498288	0.0005	200	25	1.0	3710	2
20	2715.93255538	2722.48738825	0.0005	200	25	1.0	3710	2
21	2713.89338859	2722.40077761	0.0005	200	25	1.0	3710	2
22	2712.4051131	2721.24691487	0.0005	200	25	1.0	3710	2
23	2710.33024588	2718.99431521	0.0005	200	25	1.0	3710	2
24	2709.11006071	2717.68983404	0.0005	200	25	1.0	3710	2
