	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2903.46402926	2905.17557072	0.0025	128	25	1.0	9720	2
1	2766.74140904	2799.61558355	0.0025	128	25	1.0	9720	2
2	2738.16259286	2758.15646613	0.0025	128	25	1.0	9720	2
3	2721.70438064	2735.06087644	0.0025	128	25	1.0	9720	2
4	2712.06572142	2727.69624892	0.0025	128	25	1.0	9720	2
5	2704.22995007	2716.35565781	0.0025	128	25	1.0	9720	2
6	2699.1389792	2710.50466155	0.0025	128	25	1.0	9720	2
7	2695.73016488	2704.96646124	0.0025	128	25	1.0	9720	2
8	2692.15555389	2706.74964056	0.0025	128	25	1.0	9720	2
9	2689.1178943	2695.89608572	0.0025	128	25	1.0	9720	2
10	2686.30545849	2696.21388072	0.0025	128	25	1.0	9720	2
11	2684.71859983	2692.75588785	0.0025	128	25	1.0	9720	2
12	2681.95462553	2689.00037531	0.0025	128	25	1.0	9720	2
13	2680.04227202	2689.15918529	0.0025	128	25	1.0	9720	2
14	2678.92296926	2686.85117272	0.0025	128	25	1.0	9720	2
15	2676.85008357	2684.28750289	0.0025	128	25	1.0	9720	2
16	2675.90524343	2682.08854649	0.0025	128	25	1.0	9720	2
17	2675.07339075	2681.9120921	0.0025	128	25	1.0	9720	2
18	2674.17063487	2681.57749154	0.0025	128	25	1.0	9720	2
19	2672.34287358	2680.11582162	0.0025	128	25	1.0	9720	2
20	2672.36319786	2679.75116469	0.0025	128	25	1.0	9720	2
21	2670.71221775	2681.10782333	0.0025	128	25	1.0	9720	2
22	2669.87239327	2683.15044384	0.0025	128	25	1.0	9720	2
23	2669.70249386	2677.84195839	0.0025	128	25	1.0	9720	2
24	2668.58551045	2676.34208583	0.0025	128	25	1.0	9720	2
