	loss	val_loss	learning_rate	batch_size	epochs	kappa	seed	depth
0	2942.56433205	2916.22800494	0.0015	128	25	0.1	4650	2
1	2786.53121117	2805.98846611	0.0015	128	25	0.1	4650	2
2	2754.94746707	2769.38780081	0.0015	128	25	0.1	4650	2
3	2737.67999635	2749.66764245	0.0015	128	25	0.1	4650	2
4	2725.6957189	2732.90187788	0.0015	128	25	0.1	4650	2
5	2717.28238397	2723.84006315	0.0015	128	25	0.1	4650	2
6	2710.23810644	2718.12884136	0.0015	128	25	0.1	4650	2
7	2705.85694843	2712.18225168	0.0015	128	25	0.1	4650	2
8	2701.74896083	2706.38516941	0.0015	128	25	0.1	4650	2
9	2698.22433935	2704.80659068	0.0015	128	25	0.1	4650	2
10	2695.01954445	2704.767383	0.0015	128	25	0.1	4650	2
11	2692.05434192	2702.98199568	0.0015	128	25	0.1	4650	2
12	2690.11684228	2695.34220627	0.0015	128	25	0.1	4650	2
13	2687.74351384	2693.26512598	0.0015	128	25	0.1	4650	2
14	2686.12630043	2689.1482265	0.0015	128	25	0.1	4650	2
15	2684.67391322	2692.11330226	0.0015	128	25	0.1	4650	2
16	2682.86775193	2686.39944814	0.0015	128	25	0.1	4650	2
17	2681.44409206	2685.52750013	0.0015	128	25	0.1	4650	2
18	2680.09290566	2683.93401761	0.0015	128	25	0.1	4650	2
19	2678.84169813	2683.94955439	0.0015	128	25	0.1	4650	2
20	2677.93631558	2683.79096614	0.0015	128	25	0.1	4650	2
21	2676.82389322	2684.93020426	0.0015	128	25	0.1	4650	2
22	2675.9543573	2681.46789621	0.0015	128	25	0.1	4650	2
23	2674.80498616	2681.61740597	0.0015	128	25	0.1	4650	2
24	2673.8791521	2679.48865283	0.0015	128	25	0.1	4650	2
