geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0030216	keratinocyte differentiation	http://amigo.geneontology.org/amigo/term/GO:0030216	95	12	1.9987623762376239	6.003715170278637	4.5339524723519986e-7	0.0027729653320904823	3854;5068;6278;6698;6699;8796;9119;23581;25818;43849;84648;286887	CASP14;LCE3D;KLK5;KRT75;KLK12;S100A7;SPRR1A;REG3A;SPRR1B;KRT6B;SCEL;KRT6C
GO:0009913	epidermal cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0009913	109	12	2.2933168316831685	5.232595790609822	2.0474228156208696e-6	0.006239979084528595	3854;5068;6278;6698;6699;8796;9119;23581;25818;43849;84648;286887	CASP14;LCE3D;KLK5;KRT75;KLK12;S100A7;SPRR1A;REG3A;SPRR1B;KRT6B;SCEL;KRT6C
GO:0030574	collagen catabolic process	http://amigo.geneontology.org/amigo/term/GO:0030574	21	6	0.44183168316831684	13.579831932773109	3.060813808630769e-6	0.006239979084528595	2191;4312;4314;4319;4322;5653	MMP13;MMP3;KLK6;MMP10;MMP1;FAP
GO:0070268	cornification	http://amigo.geneontology.org/amigo/term/GO:0070268	63	9	1.3254950495049507	6.789915966386554	4.933796712069949e-6	0.007543775172754952	3854;6698;6699;9119;23581;25818;43849;84648;286887	CASP14;LCE3D;KLK5;KRT75;KLK12;SPRR1A;SPRR1B;KRT6B;KRT6C
GO:0031424	keratinization	http://amigo.geneontology.org/amigo/term/GO:0031424	69	9	1.4517326732673268	6.1994884910485935	1.0658918119021976e-5	0.013037988643187682	3854;6698;6699;9119;23581;25818;43849;84648;286887	CASP14;LCE3D;KLK5;KRT75;KLK12;SPRR1A;SPRR1B;KRT6B;KRT6C
GO:0032963	collagen metabolic process	http://amigo.geneontology.org/amigo/term/GO:0032963	40	7	0.8415841584158417	8.317647058823528	1.5120100389065527e-5	0.015412422329920794	2191;4312;4314;4319;4322;5653;8710	MMP13;SERPINB7;MMP3;KLK6;MMP10;MMP1;FAP
GO:0060429	epithelium development	http://amigo.geneontology.org/amigo/term/GO:0060429	445	23	9.362623762376238	2.4565763384005286	2.6533994878619183e-5	0.020931343922206525	579;2019;3854;5068;5075;5081;6098;6278;6356;6492;6664;6698;6699;8796;9119;9370;23581;25818;43849;56033;81792;84648;286887	CASP14;LCE3D;KLK5;KRT75;KLK12;SOX11;S100A7;CCL11;EN1;SPRR1A;REG3A;SPRR1B;KRT6B;ROS1;SCEL;PAX1;SIM1;PAX7;NKX3-2;BARX1;ADAMTS12;KRT6C;ADIPOQ
GO:0008544	epidermis development	http://amigo.geneontology.org/amigo/term/GO:0008544	163	13	3.4294554455445545	3.7906892818477083	2.7379128740623315e-5	0.020931343922206525	3854;5068;6278;6698;6699;8796;9119;23581;25818;43849;51806;84648;286887	CASP14;LCE3D;KLK5;KRT75;CALML5;KLK12;S100A7;SPRR1A;REG3A;SPRR1B;KRT6B;SCEL;KRT6C
GO:0030855	epithelial cell differentiation	http://amigo.geneontology.org/amigo/term/GO:0030855	273	17	5.743811881188119	2.95970695970696	3.748289972604901e-5	0.025471712747168418	579;3854;5068;6098;6278;6664;6698;6699;8796;9119;9370;23581;25818;43849;56033;84648;286887	CASP14;LCE3D;KLK5;KRT75;KLK12;SOX11;S100A7;SPRR1A;REG3A;SPRR1B;KRT6B;ROS1;SCEL;NKX3-2;BARX1;KRT6C;ADIPOQ
GO:0043588	skin development	http://amigo.geneontology.org/amigo/term/GO:0043588	153	12	3.219059405940594	3.7277970011534025	6.795358047329003e-5	0.041560409817464186	3854;5068;6278;6698;6699;8796;9119;23581;25818;43849;84648;286887	CASP14;LCE3D;KLK5;KRT75;KLK12;S100A7;SPRR1A;REG3A;SPRR1B;KRT6B;SCEL;KRT6C
