geneset	description	link	C	O	E	R	PValue	FDR	overlapGene	OverlapGene_UserID
GO:0052697	xenobiotic glucuronidation	http://amigo.geneontology.org/amigo/term/GO:0052697	7	6	0.0470149253731343	127.619047619048	3.53272966435725e-13	2.06099448618602e-09	54575;54576;54577;54600;54658;54659	UGT1A10;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0051552	flavone metabolic process	http://amigo.geneontology.org/amigo/term/GO:0051552	6	5	0.0402985074626866	124.074074074074	5.52498047312611e-11	1.61163680401089e-07	54575;54576;54577;54600;54658	UGT1A10;UGT1A8;UGT1A7;UGT1A9;UGT1A1
GO:0006063	uronic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006063	16	6	0.107462686567164	55.8333333333333	3.880593624217e-10	3.773230533947e-07	54575;54576;54577;54600;54658;54659	UGT1A10;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0019585	glucuronate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019585	16	6	0.107462686567164	55.8333333333333	3.880593624217e-10	3.773230533947e-07	54575;54576;54577;54600;54658;54659	UGT1A10;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0052695	cellular glucuronidation	http://amigo.geneontology.org/amigo/term/GO:0052695	16	6	0.107462686567164	55.8333333333333	3.880593624217e-10	3.773230533947e-07	54575;54576;54577;54600;54658;54659	UGT1A10;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0052696	flavonoid glucuronidation	http://amigo.geneontology.org/amigo/term/GO:0052696	16	6	0.107462686567164	55.8333333333333	3.880593624217e-10	3.773230533947e-07	54575;54576;54577;54600;54658;54659	UGT1A10;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0042573	retinoic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042573	18	6	0.12089552238806	49.6296296296296	8.91531515279098e-10	7.43027837162608e-07	131;54576;54577;54600;54658;54659	ADH7;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0009812	flavonoid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009812	19	6	0.127611940298507	47.0175438596491	1.297155938218e-09	9.45950967945475e-07	54575;54576;54577;54600;54658;54659	UGT1A10;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0034754	cellular hormone metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034754	56	8	0.376119402985075	21.2698412698413	1.531976101532e-09	9.93060952926407e-07	127;131;54576;54577;54600;54658;54659;441282	ADH4;ADH7;AKR1B15;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0001523	retinoid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0001523	51	7	0.342537313432836	20.4357298474946	2.53148544349102e-08	1.47686860773266e-05	127;131;54576;54577;54600;54658;54659	ADH4;ADH7;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
GO:0016101	diterpenoid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0016101	54	7	0.362686567164179	19.3004115226337	3.82161863266006e-08	2.02684755481262e-05	127;131;54576;54577;54600;54658;54659	ADH4;ADH7;UGT1A8;UGT1A7;UGT1A9;UGT1A1;UGT1A3
