geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0007156	homophilic cell adhesion via plasma membrane adhesion molecules	http://amigo.geneontology.org/amigo/term/GO:0007156	114	20	3.527227722772277	5.670175438596492	1.2013856576231774e-10	7.347674682023353e-7	8641;8832;22997;26025;56097;56098;56099;56100;56101;56103;56104;56106;56107;56108;56111;56112;56113;56125;56128;56134	PCDHGB5;PCDHGB1;PCDHGA2;PCDHGB2;PCDHGA12;PCDHGA4;IGSF9B;PCDHGB4;PCDHGA9;PCDHB11;PCDHGC5;PCDHGB7;PCDHGB6;PCDHGA7;PCDHGA10;PCDHB8;PCDHGC4;PCDHAC2;CD84;PCDHGA3
GO:0098742	cell-cell adhesion via plasma-membrane adhesion molecules	http://amigo.geneontology.org/amigo/term/GO:0098742	167	21	5.167079207920792	4.064191616766467	2.1997989319011424e-8	6.726985133753693e-5	1525;8641;8832;22997;26025;56097;56098;56099;56100;56101;56103;56104;56106;56107;56108;56111;56112;56113;56125;56128;56134	PCDHGB5;PCDHGB1;PCDHGA2;PCDHGB2;PCDHGA12;PCDHGA4;IGSF9B;PCDHGB4;PCDHGA9;PCDHB11;PCDHGC5;PCDHGB7;PCDHGB6;PCDHGA7;PCDHGA10;PCDHB8;PCDHGC4;PCDHAC2;CD84;CXADR;PCDHGA3
GO:0098609	cell-cell adhesion	http://amigo.geneontology.org/amigo/term/GO:0098609	371	28	11.478960396039604	2.439245283018868	5.12189994372747e-6	0.01044184668527907	1525;3572;3575;3690;5294;5592;5724;8516;8641;8832;22997;26025;56097;56098;56099;56100;56101;56103;56104;56106;56107;56108;56111;56112;56113;56125;56128;56134	IL6ST;PRKG1;PCDHGB5;PCDHGB1;PCDHGA2;PCDHGB2;PCDHGA12;PCDHGA4;IL7R;ITGA8;IGSF9B;PCDHGB4;PCDHGA9;PCDHB11;PCDHGC5;PCDHGB7;PCDHGB6;PCDHGA7;PIK3CG;PCDHGA10;PCDHB8;PCDHGC4;PTAFR;PCDHAC2;CD84;CXADR;PCDHGA3;ITGB3
GO:0099625	ventricular cardiac muscle cell membrane repolarization	http://amigo.geneontology.org/amigo/term/GO:0099625	14	4	0.43316831683168316	9.234285714285715	6.87259092399195e-4	0.8406553218226954	781;3752;3762;9722	CACNA2D1;KCND3;NOS1AP;KCNJ5
GO:0086011	membrane repolarization during action potential	http://amigo.geneontology.org/amigo/term/GO:0086011	14	4	0.43316831683168316	9.234285714285715	6.87259092399195e-4	0.8406553218226954	781;3752;3762;9722	CACNA2D1;KCND3;NOS1AP;KCNJ5
GO:1901699	cellular response to nitrogen compound	http://amigo.geneontology.org/amigo/term/GO:1901699	176	14	5.445544554455445	2.5709090909090913	9.287642080668679e-4	0.8734456562328468	111;781;1131;2303;2822;5027;5028;5139;5294;5724;9353;54328;83990;340706	CACNA2D1;PDE3A;P2RY1;P2RX7;BRIP1;GPR173;SLIT2;PIK3CG;ADCY5;PTAFR;FOXC2;CHRM3;VWA2;GPLD1
GO:0008015	blood circulation	http://amigo.geneontology.org/amigo/term/GO:0008015	223	16	6.899752475247524	2.3189237668161438	0.0012254251014289785	0.8734456562328468	367;552;781;1131;1525;3274;3752;3762;5028;5139;5294;5592;5724;9353;9722;56670	CACNA2D1;KCND3;PRKG1;PDE3A;AR;NOS1AP;P2RY1;SLIT2;PIK3CG;AVPR1A;KCNJ5;HRH2;PTAFR;SUCNR1;CHRM3;CXADR
GO:0071417	cellular response to organonitrogen compound	http://amigo.geneontology.org/amigo/term/GO:0071417	161	13	4.981435643564357	2.6096894409937885	0.0012391425853438554	0.8734456562328468	111;781;2303;2822;5027;5028;5139;5294;5724;9353;54328;83990;340706	CACNA2D1;PDE3A;P2RY1;P2RX7;BRIP1;GPR173;SLIT2;PIK3CG;ADCY5;PTAFR;FOXC2;VWA2;GPLD1
GO:0003013	circulatory system process	http://amigo.geneontology.org/amigo/term/GO:0003013	224	16	6.930693069306931	2.3085714285714287	0.0012853189839920898	0.8734456562328468	367;552;781;1131;1525;3274;3752;3762;5028;5139;5294;5592;5724;9353;9722;56670	CACNA2D1;KCND3;PRKG1;PDE3A;AR;NOS1AP;P2RY1;SLIT2;PIK3CG;AVPR1A;KCNJ5;HRH2;PTAFR;SUCNR1;CHRM3;CXADR
GO:0099622	cardiac muscle cell membrane repolarization	http://amigo.geneontology.org/amigo/term/GO:0099622	18	4	0.556930693069307	7.182222222222221	0.0019083320668653592	1	781;3752;3762;9722	CACNA2D1;KCND3;NOS1AP;KCNJ5
