userId	geneSymbol	geneName	entrezgene	gLink
ROPN1	ROPN1	rhophilin associated tail protein 1	54763	https://www.ncbi.nlm.nih.gov/gene/?term=54763
ROPN1B	ROPN1B	rhophilin associated tail protein 1B	152015	https://www.ncbi.nlm.nih.gov/gene/?term=152015
ADIPOQ	ADIPOQ	adiponectin, C1Q and collagen domain containing	9370	https://www.ncbi.nlm.nih.gov/gene/?term=9370
SOX10	SOX10	SRY-box 10	6663	https://www.ncbi.nlm.nih.gov/gene/?term=6663
CIDEA	CIDEA	cell death inducing DFFA like effector a	1149	https://www.ncbi.nlm.nih.gov/gene/?term=1149
GLYAT	GLYAT	glycine-N-acyltransferase	10249	https://www.ncbi.nlm.nih.gov/gene/?term=10249
CIDEC	CIDEC	cell death inducing DFFA like effector c	63924	https://www.ncbi.nlm.nih.gov/gene/?term=63924
ABCG8	ABCG8	ATP binding cassette subfamily G member 8	64241	https://www.ncbi.nlm.nih.gov/gene/?term=64241
SERPINA6	SERPINA6	serpin family A member 6	866	https://www.ncbi.nlm.nih.gov/gene/?term=866
CPN1	CPN1	carboxypeptidase N subunit 1	1369	https://www.ncbi.nlm.nih.gov/gene/?term=1369
AADAC	AADAC	arylacetamide deacetylase	13	https://www.ncbi.nlm.nih.gov/gene/?term=13
CYP2A6	CYP2A6	cytochrome P450 family 2 subfamily A member 6	1548	https://www.ncbi.nlm.nih.gov/gene/?term=1548
SERPINA11	SERPINA11	serpin family A member 11	256394	https://www.ncbi.nlm.nih.gov/gene/?term=256394
TLX1	TLX1	T cell leukemia homeobox 1	3195	https://www.ncbi.nlm.nih.gov/gene/?term=3195
MIA	MIA	MIA SH3 domain containing	8190	https://www.ncbi.nlm.nih.gov/gene/?term=8190
SAA4	SAA4	serum amyloid A4, constitutive	6291	https://www.ncbi.nlm.nih.gov/gene/?term=6291
HEPN1	HEPN1	hepatocellular carcinoma, down-regulated 1	641654	https://www.ncbi.nlm.nih.gov/gene/?term=641654
CDH19	CDH19	cadherin 19	28513	https://www.ncbi.nlm.nih.gov/gene/?term=28513
ADH1A	ADH1A	alcohol dehydrogenase 1A (class I), alpha polypeptide	124	https://www.ncbi.nlm.nih.gov/gene/?term=124
TFAP2B	TFAP2B	transcription factor AP-2 beta	7021	https://www.ncbi.nlm.nih.gov/gene/?term=7021
GRIA2	GRIA2	glutamate ionotropic receptor AMPA type subunit 2	2891	https://www.ncbi.nlm.nih.gov/gene/?term=2891
THRSP	THRSP	thyroid hormone responsive	7069	https://www.ncbi.nlm.nih.gov/gene/?term=7069
SERPINA10	SERPINA10	serpin family A member 10	51156	https://www.ncbi.nlm.nih.gov/gene/?term=51156
APOA2	APOA2	apolipoprotein A2	336	https://www.ncbi.nlm.nih.gov/gene/?term=336
SERPINA5	SERPINA5	serpin family A member 5	5104	https://www.ncbi.nlm.nih.gov/gene/?term=5104
HCN1	HCN1	hyperpolarization activated cyclic nucleotide gated potassium channel 1	348980	https://www.ncbi.nlm.nih.gov/gene/?term=348980
HEPACAM	HEPACAM	hepatic and glial cell adhesion molecule	220296	https://www.ncbi.nlm.nih.gov/gene/?term=220296
ADH1B	ADH1B	alcohol dehydrogenase 1B (class I), beta polypeptide	125	https://www.ncbi.nlm.nih.gov/gene/?term=125
AQP7P1	AQP7P1	aquaporin 7 pseudogene 1	375719	https://www.ncbi.nlm.nih.gov/gene/?term=375719
TF	TF	transferrin	7018	https://www.ncbi.nlm.nih.gov/gene/?term=7018
LEP	LEP	leptin	3952	https://www.ncbi.nlm.nih.gov/gene/?term=3952
CPN2	CPN2	carboxypeptidase N subunit 2	1370	https://www.ncbi.nlm.nih.gov/gene/?term=1370
SCGB2A2	SCGB2A2	secretoglobin family 2A member 2	4250	https://www.ncbi.nlm.nih.gov/gene/?term=4250
C10orf90	C10orf90	chromosome 10 open reading frame 90	118611	https://www.ncbi.nlm.nih.gov/gene/?term=118611
PLIN1	PLIN1	perilipin 1	5346	https://www.ncbi.nlm.nih.gov/gene/?term=5346
C6	C6	complement C6	729	https://www.ncbi.nlm.nih.gov/gene/?term=729
SULT2A1	SULT2A1	sulfotransferase family 2A member 1	6822	https://www.ncbi.nlm.nih.gov/gene/?term=6822
GPR12	GPR12	G protein-coupled receptor 12	2835	https://www.ncbi.nlm.nih.gov/gene/?term=2835
DSG1	DSG1	desmoglein 1	1828	https://www.ncbi.nlm.nih.gov/gene/?term=1828
FETUB	FETUB	fetuin B	26998	https://www.ncbi.nlm.nih.gov/gene/?term=26998
ADH4	ADH4	alcohol dehydrogenase 4 (class II), pi polypeptide	127	https://www.ncbi.nlm.nih.gov/gene/?term=127
NBPF4	NBPF4	NBPF member 4	148545	https://www.ncbi.nlm.nih.gov/gene/?term=148545
GJB1	GJB1	gap junction protein beta 1	2705	https://www.ncbi.nlm.nih.gov/gene/?term=2705
NPY5R	NPY5R	neuropeptide Y receptor Y5	4889	https://www.ncbi.nlm.nih.gov/gene/?term=4889
SOX5	SOX5	SRY-box 5	6660	https://www.ncbi.nlm.nih.gov/gene/?term=6660
MMP8	MMP8	matrix metallopeptidase 8	4317	https://www.ncbi.nlm.nih.gov/gene/?term=4317
KCNC2	KCNC2	potassium voltage-gated channel subfamily C member 2	3747	https://www.ncbi.nlm.nih.gov/gene/?term=3747
C14orf180	C14orf180	chromosome 14 open reading frame 180	400258	https://www.ncbi.nlm.nih.gov/gene/?term=400258
HAND2	HAND2	heart and neural crest derivatives expressed 2	9464	https://www.ncbi.nlm.nih.gov/gene/?term=9464
