geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0007268	chemical synaptic transmission	http://amigo.geneontology.org/amigo/term/GO:0007268	320	13	3.2475247524752477	4.003048780487805	8.725084371663527e-6	0.015300121099919073	1137;1141;2914;3736;3780;3785;5582;6511;10590;23316;57338;59284;729956	CACNG7;GRM4;CUX2;JPH3;PRKCG;SCGN;KCNN1;KCNA1;KCNQ2;SLC1A6;CHRNA4;SHISA7;CHRNB2
GO:0098916	anterograde trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0098916	320	13	3.2475247524752477	4.003048780487805	8.725084371663527e-6	0.015300121099919073	1137;1141;2914;3736;3780;3785;5582;6511;10590;23316;57338;59284;729956	CACNG7;GRM4;CUX2;JPH3;PRKCG;SCGN;KCNN1;KCNA1;KCNQ2;SLC1A6;CHRNA4;SHISA7;CHRNB2
GO:0099537	trans-synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099537	323	13	3.277970297029703	3.965868760854791	9.671492193441544e-6	0.015300121099919073	1137;1141;2914;3736;3780;3785;5582;6511;10590;23316;57338;59284;729956	CACNG7;GRM4;CUX2;JPH3;PRKCG;SCGN;KCNN1;KCNA1;KCNQ2;SLC1A6;CHRNA4;SHISA7;CHRNB2
GO:0099536	synaptic signaling	http://amigo.geneontology.org/amigo/term/GO:0099536	324	13	3.2881188118811884	3.9536284251731404	1.0006619424407504e-5	0.015300121099919073	1137;1141;2914;3736;3780;3785;5582;6511;10590;23316;57338;59284;729956	CACNG7;GRM4;CUX2;JPH3;PRKCG;SCGN;KCNN1;KCNA1;KCNQ2;SLC1A6;CHRNA4;SHISA7;CHRNB2
GO:0099505	regulation of presynaptic membrane potential	http://amigo.geneontology.org/amigo/term/GO:0099505	7	3	0.07103960396039605	42.22996515679442	3.302574722885421e-5	0.038119190155744644	3736;3746;3747	KCNC1;KCNC2;KCNA1
GO:0050807	regulation of synapse organization	http://amigo.geneontology.org/amigo/term/GO:0050807	97	7	0.9844059405940594	7.110887603721398	4.2657002103596575e-5	0.038119190155744644	1141;23316;79012;145581;158038;654429;729956	CUX2;LRFN5;CAMKV;LINGO2;SHISA7;LRTM2;CHRNB2
GO:0050803	regulation of synapse structure or activity	http://amigo.geneontology.org/amigo/term/GO:0050803	100	7	1.0148514851485149	6.897560975609756	5.1977002446634835e-5	0.038119190155744644	1141;23316;79012;145581;158038;654429;729956	CUX2;LRFN5;CAMKV;LINGO2;SHISA7;LRTM2;CHRNB2
GO:1903818	positive regulation of voltage-gated potassium channel activity	http://amigo.geneontology.org/amigo/term/GO:1903818	8	3	0.08118811881188119	36.951219512195124	5.246856744611783e-5	0.038119190155744644	3736;3746;3747	KCNC1;KCNC2;KCNA1
GO:0034220	ion transmembrane transport	http://amigo.geneontology.org/amigo/term/GO:0034220	438	14	4.445049504950495	3.149571221739615	5.6094295520225934e-5	0.038119190155744644	1137;1141;3736;3746;3747;3761;3780;3785;6511;27012;55117;57338;59284;729956	KCNV1;CACNG7;KCNC1;JPH3;KCNC2;KCNN1;KCNA1;KCNQ2;SLC1A6;SLC6A15;CHRNA4;SHISA7;KCNJ4;CHRNB2
GO:2001257	regulation of cation channel activity	http://amigo.geneontology.org/amigo/term/GO:2001257	72	6	0.7306930693069307	8.211382113821138	7.128107619491786e-5	0.04346721200554645	3736;3746;3747;57338;59284;729956	CACNG7;KCNC1;JPH3;KCNC2;KCNA1;SHISA7
