geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0030198	extracellular matrix organization	http://amigo.geneontology.org/amigo/term/GO:0030198	191	20	2.552970297029703	7.834012022493698	9.14823772291129e-14	5.595062191332545e-10	1290;1293;1300;1301;1303;1513;1805;2191;4312;4314;4317;4320;4322;6423;8038;8076;9622;10631;22801;26585	COL11A1;MMP13;COL10A1;MMP8;KLK4;FAP;MMP1;SFRP2;ITGA11;GREM1;MMP3;ADAM12;MMP11;COL12A1;COL5A2;CTSK;POSTN;DPT;MFAP5;COL6A3
GO:0043062	extracellular structure organization	http://amigo.geneontology.org/amigo/term/GO:0043062	213	20	2.847029702970297	7.0248652408276815	7.500666754367558e-13	2.293703893485599e-9	1290;1293;1300;1301;1303;1513;1805;2191;4312;4314;4317;4320;4322;6423;8038;8076;9622;10631;22801;26585	COL11A1;MMP13;COL10A1;MMP8;KLK4;FAP;MMP1;SFRP2;ITGA11;GREM1;MMP3;ADAM12;MMP11;COL12A1;COL5A2;CTSK;POSTN;DPT;MFAP5;COL6A3
GO:0030574	collagen catabolic process	http://amigo.geneontology.org/amigo/term/GO:0030574	21	7	0.28069306930693066	24.938271604938276	5.145222581326436e-9	1.0489393769130828e-5	1513;2191;4312;4314;4317;4320;4322	MMP13;MMP8;FAP;MMP1;MMP3;MMP11;CTSK
GO:0022617	extracellular matrix disassembly	http://amigo.geneontology.org/amigo/term/GO:0022617	36	8	0.48118811881188117	16.625514403292183	1.3535665255304252e-8	2.06960321753602e-5	1513;2191;4312;4314;4317;4320;4322;9622	MMP13;MMP8;KLK4;FAP;MMP1;MMP3;MMP11;CTSK
GO:0032963	collagen metabolic process	http://amigo.geneontology.org/amigo/term/GO:0032963	40	8	0.5346534653465347	14.962962962962962	3.302204765187611e-8	4.039256868777486e-5	1513;2191;4312;4314;4317;4320;4322;8710	MMP13;SERPINB7;MMP8;FAP;MMP1;MMP3;MMP11;CTSK
GO:0030199	collagen fibril organization	http://amigo.geneontology.org/amigo/term/GO:0030199	31	7	0.41435643564356434	16.8936678614098	1.0500933145252134e-7	1.0703951186060343e-4	1290;1301;1303;1805;4320;6423;26585	COL11A1;SFRP2;GREM1;MMP11;COL12A1;COL5A2;DPT
GO:0061448	connective tissue development	http://amigo.geneontology.org/amigo/term/GO:0061448	120	10	1.6039603960396038	6.234567901234568	2.9126989113947843e-6	0.0025448666488700716	579;1293;1301;1303;1513;4322;6423;8710;26585;81792	COL11A1;MMP13;SERPINB7;ADAMTS12;SFRP2;GREM1;NKX3-2;COL12A1;CTSK;COL6A3
GO:0001501	skeletal system development	http://amigo.geneontology.org/amigo/term/GO:0001501	225	13	3.007425742574257	4.322633744855968	5.053900332896433e-6	0.0037209623518861257	579;1290;1293;1300;1301;1303;1513;4322;5075;6423;10631;26585;81792	COL11A1;MMP13;COL10A1;ADAMTS12;SFRP2;GREM1;NKX3-2;COL12A1;COL5A2;CTSK;PAX1;POSTN;COL6A3
GO:0051216	cartilage development	http://amigo.geneontology.org/amigo/term/GO:0051216	102	9	1.3633663366336632	6.601307189542484	6.050725462447559e-6	0.0037209623518861257	579;1293;1301;1303;1513;4322;6423;26585;81792	COL11A1;MMP13;ADAMTS12;SFRP2;GREM1;NKX3-2;COL12A1;CTSK;COL6A3
GO:0006508	proteolysis	http://amigo.geneontology.org/amigo/term/GO:0006508	433	18	5.787623762376238	3.1100846805234794	6.083980300664038e-6	0.0037209623518861257	1293;1370;1513;2191;4312;4314;4317;4320;4322;6318;6423;8038;8710;9622;10699;23581;81792;170690	MMP13;CASP14;SERPINB7;CPN2;ADAMTS16;ADAMTS12;MMP8;KLK4;FAP;MMP1;SFRP2;MMP3;CORIN;ADAM12;MMP11;SERPINB4;CTSK;COL6A3
