geneSet	description	link	C	O	E	R	pValue	FDR	overlapId	userId
GO:0052696	flavonoid glucuronidation	http://amigo.geneontology.org/amigo/term/GO:0052696	7	6	0.17500000000000002	34.285714285714285	1.4447493201785733e-9	8.836086842212154e-6	54575;54577;54578;54600;54658;54659	UGT1A10;UGT1A7;UGT1A6;UGT1A1;UGT1A3;UGT1A9
GO:0052697	xenobiotic glucuronidation	http://amigo.geneontology.org/amigo/term/GO:0052697	8	6	0.2	30	5.662369906289655e-9	1.7315527173433765e-5	54575;54577;54578;54600;54658;54659	UGT1A10;UGT1A7;UGT1A6;UGT1A1;UGT1A3;UGT1A9
GO:0009812	flavonoid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0009812	10	6	0.25	24	4.077150717041178e-8	8.311951261807948e-5	54575;54577;54578;54600;54658;54659	UGT1A10;UGT1A7;UGT1A6;UGT1A1;UGT1A3;UGT1A9
GO:0006063	uronic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006063	12	6	0.30000000000000004	19.999999999999996	1.7223228021556736e-7	1.75562104299735e-4	54575;54577;54578;54600;54658;54659	UGT1A10;UGT1A7;UGT1A6;UGT1A1;UGT1A3;UGT1A9
GO:0019585	glucuronate metabolic process	http://amigo.geneontology.org/amigo/term/GO:0019585	12	6	0.30000000000000004	19.999999999999996	1.7223228021556736e-7	1.75562104299735e-4	54575;54577;54578;54600;54658;54659	UGT1A10;UGT1A7;UGT1A6;UGT1A1;UGT1A3;UGT1A9
GO:0052695	cellular glucuronidation	http://amigo.geneontology.org/amigo/term/GO:0052695	12	6	0.30000000000000004	19.999999999999996	1.7223228021556736e-7	1.75562104299735e-4	54575;54577;54578;54600;54658;54659	UGT1A10;UGT1A7;UGT1A6;UGT1A1;UGT1A3;UGT1A9
GO:0051552	flavone metabolic process	http://amigo.geneontology.org/amigo/term/GO:0051552	6	4	0.15000000000000002	26.666666666666664	5.315398949212735e-6	0.004644139996197869	54575;54577;54600;54658	UGT1A10;UGT1A7;UGT1A1;UGT1A9
GO:0042573	retinoic acid metabolic process	http://amigo.geneontology.org/amigo/term/GO:0042573	18	5	0.45	11.11111111111111	5.8505817513543334e-5	0.04472769748910388	131;54577;54600;54658;54659	UGT1A7;ADH7;UGT1A1;UGT1A3;UGT1A9
GO:0034754	cellular hormone metabolic process	http://amigo.geneontology.org/amigo/term/GO:0034754	58	8	1.4500000000000002	5.517241379310344	7.878033052188815e-5	0.05353561127465199	131;6783;7276;10202;54577;54600;54658;54659	TTR;DHRS2;UGT1A7;ADH7;SULT1E1;UGT1A1;UGT1A3;UGT1A9
GO:0006067	ethanol metabolic process	http://amigo.geneontology.org/amigo/term/GO:0006067	12	4	0.30000000000000004	13.333333333333332	1.5617210305662876e-4	0.09551485822943416	126;131;6783;6822	ADH1C;ADH7;SULT1E1;SULT2A1
