userid	genesymbol	genename	entrezgene
SNORD116-4	SNORD116-4	small nucleolar RNA, C/D box 116-4	100033416
SNORD116-28	SNORD116-28	small nucleolar RNA, C/D box 116-28	100033820
FAM196B	FAM196B	family with sequence similarity 196 member B	100131897
TMED7-TICAM2	TMED7-TICAM2	TMED7-TICAM2 readthrough	100302736
EDIL3	EDIL3	EGF like repeats and discoidin domains 3	10085
TSPAN5	TSPAN5	tetraspanin 5	10098
PLXNC1	PLXNC1	plexin C1	10154
B3GALT5	B3GALT5	beta-1,3-galactosyltransferase 5	10317
ADCY5	ADCY5	adenylate cyclase 5	111
CHRM3	CHRM3	cholinergic receptor muscarinic 3	1131
MED12L	MED12L	mediator complex subunit 12 like	116931
PARD3B	PARD3B	par-3 family cell polarity regulator beta	117583
ADD2	ADD2	adducin 2	119
AK7	AK7	adenylate kinase 7	122481
PLD4	PLD4	phospholipase D family member 4	122618
CCR4	CCR4	C-C motif chemokine receptor 4	1233
CCR8	CCR8	C-C motif chemokine receptor 8	1237
TSHZ2	TSHZ2	teashirt zinc finger homeobox 2	128553
COL8A1	COL8A1	collagen type VIII alpha 1 chain	1295
SPC24	SPC24	SPC24, NDC80 kinetochore complex component	147841
CKAP2L	CKAP2L	cytoskeleton associated protein 2 like	150468
CXADR	CXADR	coxsackie virus and adenovirus receptor	1525
NIPAL1	NIPAL1	NIPA like domain containing 1	152519
RASEF	RASEF	RAS and EF-hand domain containing	158158
TRPV3	TRPV3	transient receptor potential cation channel subfamily V member 3	162514
BHLHA15	BHLHA15	basic helix-loop-helix family member a15	168620
ADAMTS15	ADAMTS15	ADAM metallopeptidase with thrombospondin type 1 motif 15	170689
EGFR	EGFR	epidermal growth factor receptor	1956
MPZL3	MPZL3	myelin protein zero like 3	196264
FAT2	FAT2	FAT atypical cadherin 2	2196
PHACTR1	PHACTR1	phosphatase and actin regulator 1	221692
THSD7A	THSD7A	thrombospondin type 1 domain containing 7A	221981
SCUBE3	SCUBE3	signal peptide, CUB domain and EGF like domain containing 3	222663
ZSCAN23	ZSCAN23	zinc finger and SCAN domain containing 23	222696
IKZF3	IKZF3	IKAROS family zinc finger 3	22806
SHANK2	SHANK2	SH3 and multiple ankyrin repeat domains 2	22941
IGSF9B	IGSF9B	immunoglobulin superfamily member 9B	22997
FOXC2	FOXC2	forkhead box C2	2303
FLG	FLG	filaggrin	2312
FPR1	FPR1	formyl peptide receptor 1	2357
CENPI	CENPI	centromere protein I	2491
SERINC5	SERINC5	serine incorporator 5	256987
FRMD3	FRMD3	FERM domain containing 3	257019
PCDHGA12	PCDHGA12	protocadherin gamma subfamily A, 12	26025
PYGO1	PYGO1	pygopus family PHD finger 1	26108
KIF26A	KIF26A	kinesin family member 26A	26153
EHF	EHF	ETS homologous factor	26298
SULT1C4	SULT1C4	sulfotransferase family 1C member 4	27233
RBMS3	RBMS3	RNA binding motif single stranded interacting protein 3	27303
CECR2	CECR2	CECR2, histone acetyl-lysine reader	27443
ABO	ABO	ABO, alpha 1-3-N-acetylgalactosaminyltransferase and alpha 1-3-galactosyltransferase	28
GPLD1	GPLD1	glycosylphosphatidylinositol specific phospholipase D1	2822
B4GALNT3	B4GALNT3	beta-1,4-N-acetyl-galactosaminyltransferase 3	283358
GAS2L3	GAS2L3	growth arrest specific 2 like 3	283431
CCDC144B	CCDC144B	coiled-coil domain containing 144B (pseudogene)	284047
ZIK1	ZIK1	zinc finger protein interacting with K protein 1	284307
GPR27	GPR27	G protein-coupled receptor 27	2850
GPRIN3	GPRIN3	GPRIN family member 3	285513
ZNF454	ZNF454	zinc finger protein 454	285676
STON1-GTF2A1L	STON1-GTF2A1L	STON1-GTF2A1L readthrough	286749
GRIK4	GRIK4	glutamate ionotropic receptor kainate type subunit 4	2900
HRH2	HRH2	histamine receptor H2	3274
NHSL2	NHSL2	NHS like 2	340527
VWA2	VWA2	von Willebrand factor A domain containing 2	340706
FMN1	FMN1	formin 1	342184
ZNF677	ZNF677	zinc finger protein 677	342926
DPY19L2P2	DPY19L2P2	DPY19L2 pseudogene 2	349152
IL6ST	IL6ST	interleukin 6 signal transducer	3572
IL7R	IL7R	interleukin 7 receptor	3575
INHBA	INHBA	inhibin beta A subunit	3624
AR	AR	androgen receptor	367
ITGA9	ITGA9	integrin subunit alpha 9	3680
ITGB3	ITGB3	integrin subunit beta 3	3690
KCNA3	KCNA3	potassium voltage-gated channel subfamily A member 3	3738
KCND3	KCND3	potassium voltage-gated channel subfamily D member 3	3752
KCNJ5	KCNJ5	potassium voltage-gated channel subfamily J member 5	3762
KCNN3	KCNN3	potassium calcium-activated channel subfamily N member 3	3782
