algorithm	0	1	2	3	4	5	minimum_rank_avg	min_node_zscore	avg_recon_dist	seed	noise	sample_size	num_genes	data_file
tybalt	3.012	1.496	1.225	1.44	1.18	1.4	1.3481999999999998	1.7658515267898238	4.048510679202806	349084	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	2.436	1.0	1.005	2.473333333333333	1.01	1.0	1.2976666666666667	1.1733694912911552	4.388103885237348	349084	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.472	1.0959999999999999	1.2	1.0466666666666666	1.01	1.0	1.0705333333333331	1.3899929302383816	4.044797634787188	349084	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	-0.3390949109028743	4.044803653557927	349084	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.817257084229144	4.044934384571073	349084	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.108	1.3119999999999998	1.415	1.4266666666666667	1.11	1.48	1.3487333333333336	1.5940868980302532	4.048256500157855	914633	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.4	3.36	3.385	3.353333333333333	3.38	3.0	3.2956666666666665	0.6287343988698254	4.488127638690677	914633	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.34	1.088	1.15	1.0533333333333332	1.05	1.0	1.0682666666666667	1.6303584199380392	4.044781467323877	914633	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	0.5396962716251166	4.044803653557927	914633	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8173624064945558	4.044934355351349	914633	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.056	2.048	1.43	1.66	1.75	1.06	1.5896	0.4092214231827137	4.047803352024912	980199	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.304	3.216	3.34	3.373333333333333	3.27	3.14	3.2678666666666665	-0.9902977039149032	4.456906353549692	980199	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.3319999999999999	1.068	1.165	1.0533333333333332	1.0	1.0	1.0572666666666666	1.6130469968218673	4.044781351673515	980199	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.896	1.765	1.34	1.22	1.02	1.4482	0.014338476019112853	4.04480365355793	980199	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8172079803071763	4.044934369700578	980199	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.2119999999999997	1.236	1.475	1.4	1.33	1.0	1.2882000000000002	0.9563232032859482	4.050110017039756	775613	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.392	3.408	3.34	3.393333333333333	3.16	3.16	3.2922666666666665	-0.28315403318323923	5.101159951251111	775613	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.36	1.068	1.18	1.0466666666666666	1.02	1.0	1.0629333333333335	1.599034799400744	4.0447811645930045	775613	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.896	1.765	1.34	1.22	1.02	1.4482	0.8842651747671595	4.044803653557927	775613	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8176298907238138	4.044934396488686	775613	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	2.964	1.652	1.44	1.48	1.26	1.16	1.3984	1.1704313720903086	4.049315778320929	254416	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.344	3.332	3.385	3.373333333333333	3.11	3.16	3.2720666666666665	-0.7250541094919521	4.503555431500186	254416	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.244	1.084	1.175	1.0666666666666669	1.0	1.0	1.0651333333333333	0.5683152754148685	4.044794819531737	254416	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9	1.765	1.34	1.22	1.02	1.4489999999999998	-0.5268480078765287	4.044803653557929	254416	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8179607125954176	4.044934387082098	254416	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	3.1	1.44	1.355	1.34	1.08	1.38	1.319	1.4012003169622873	4.0492181900091655	34484	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	2.736	1.12	1.01	2.7466666666666666	1.1	1.06	1.407333333333333	0.31424552794822985	4.289844449779879	34484	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.4240000000000002	1.088	1.13	1.0266666666666666	1.03	1.0	1.0549333333333333	1.0810789535485426	4.044782719731663	34484	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4040000000000001	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	0.3437411052238936	4.044803653557927	34484	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.645	1.4066666666666667	1.5	1.4	1.421533333333333	-0.8171150794694787	4.044934426924374	34484	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	2.952	1.256	1.275	1.3133333333333332	1.33	1.32	1.2988666666666666	1.4427392044294844	4.048057704299668	472426	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.4160000000000004	3.4	3.385	3.2333333333333334	3.13	3.26	3.2816666666666663	1.1656845545827992	4.916542956500699	472426	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.188	1.0759999999999998	1.195	1.0333333333333334	1.01	1.0	1.0628666666666666	1.6197168143256149	4.044785016690716	472426	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.9	1.765	1.34	1.22	1.02	1.4489999999999998	-0.8955154045022193	4.044803653557929	472426	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8171367506311743	4.044934381219128	472426	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	2.824	1.444	1.26	1.3733333333333333	1.54	1.1	1.3434666666666666	1.0761508724162998	4.049342523717315	446728	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.3680000000000003	3.332	3.235	3.273333333333333	3.4	3.04	3.256066666666667	0.006780807976009596	4.542810386711374	446728	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.296	1.072	1.165	1.0466666666666666	1.01	1.0	1.0587333333333333	1.6344008320104884	4.0447845554532496	446728	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4040000000000001	1.9040000000000001	1.765	1.3333333333333333	1.22	1.02	1.4484666666666666	-0.19817840615073049	4.0448036535579295	446728	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.4066666666666667	1.5	1.4	1.4225333333333334	-0.8185202738443879	4.044934355654606	446728	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	2.952	1.4080000000000001	1.255	1.3266666666666669	1.31	1.36	1.3319333333333334	1.6848661079376992	4.049178825198564	526674	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
adage	3.36	3.408	3.33	3.373333333333333	3.3	2.98	3.278266666666666	-1.098881968035876	4.534686841892948	526674	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
pca	1.1840000000000002	1.072	1.15	1.0266666666666666	1.02	1.0	1.0537333333333332	1.6437715104182362	4.0447823257958015	526674	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
ica	1.4	1.896	1.765	1.34	1.22	1.02	1.4482	0.5303873138654687	4.044803653557927	526674	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
nmf	1.0	1.156	1.65	1.42	1.5	1.4	1.4251999999999998	-0.8177094719986117	4.04493435070734	526674	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
tybalt	2.988	1.148	1.325	1.4	2.04	1.0	1.3826	1.0851345998782531	4.049424274001677	876672	1.0	8000	1000	data/simulation/sim_data_samplesize_8000_noise_1_genes_1000.tsv
