	encoding 53	encoding 66
FRMD1	-0.10669075697660446	0.009263226762413979
SMPX	-0.1011430025100708	0.009268662892282009
HSD17B2	-0.09305021911859512	0.009226183407008648
SLC13A2	-0.09171454608440399	0.057788342237472534
HNF4A	-0.08903653919696808	-0.02036444842815399
SLC5A7	-0.08837617188692093	-0.04631730914115906
LOC283392	-0.08826618641614914	0.040808968245983124
UNC93A	-0.08801130950450897	0.020032422617077827
GDA	-0.08797615766525269	-0.008110566064715385
SERPINA6	-0.08731477707624435	0.09393896162509918
TNNT2	-0.08707937598228455	-0.030585063621401787
SLC6A2	-0.08660167455673218	0.05598650872707367
PLA2G4E	-0.0861857458949089	-0.050978951156139374
CYP2C18	-0.08614502102136612	0.00912964716553688
ANKRD30A	-0.0857025757431984	0.046307824552059174
UGT2B4	-0.08447330445051193	0.022985855117440224
HCG22	0.08445100486278534	-0.02312774397432804
GSTA1	-0.08382487297058105	0.04148954898118973
PRODH2	-0.08305971324443817	0.020493686199188232
LYPD6B	-0.08273088932037354	-0.029275357723236084
GSTA2	-0.08230236917734146	0.016754519194364548
DLK1	-0.0819413885474205	0.03908145800232887
TRHDE	-0.08185788989067078	0.012977425009012222
RXRG	0.08132907003164291	0.02767127752304077
TAC1	-0.08124076575040817	-0.03589890897274017
LPA	-0.08121702075004578	-0.010409440845251083
LDLRAD1	-0.07995782047510147	0.003930783364921808
SULT2A1	-0.07969840615987778	0.06674820929765701
DDC	-0.07962830364704132	0.03852919116616249
SPRR2F	-0.07924935221672058	-0.05482200160622597
SIM1	-0.07883316278457642	0.020127033814787865
FGA	-0.07809935510158539	0.011851401068270206
TFF1	-0.07769518345594406	-0.0019895206205546856
MGAT4C	0.07696622610092163	0.008487598970532417
SAA4	-0.07687442749738693	0.07910780608654022
KCNB2	-0.07670673727989197	-0.03588493913412094
UGT3A1	-0.07663249224424362	-0.006387840956449509
PLP1	0.07644007354974747	0.02239355258643627
C10orf90	0.07600486278533936	0.0677197203040123
EMX1	-0.07598629593849182	-0.02525152452290058
ABCG8	-0.07585734128952026	0.09904243797063828
FGG	-0.07558850944042206	0.0203721784055233
CYP2C19	-0.075273297727108	-0.015004586428403854
HSPB3	-0.07524480670690536	-0.07621756941080093
PLA2G4D	-0.07489986717700958	-0.03565679490566254
SERPINB7	-0.07486525923013687	-0.02090107649564743
AMTN	-0.07402832806110382	-0.06483836472034454
NRK	-0.07376372069120407	-0.01421433687210083
PSAPL1	-0.07343565672636032	0.01309487409889698
CBLC	-0.0731746181845665	0.015612981282174587
CYP3A7	-0.07302234321832657	0.01783432438969612
AACSL	-0.07246755063533783	-0.04935029149055481
SULT1E1	-0.07229270786046982	-0.005832964088767767
OPRK1	-0.07182689756155014	-0.01670808345079422
ASPG	-0.07169318199157715	0.010672009550035
TRIM15	-0.07158961147069931	-0.03695600479841232
KRT20	-0.07156098634004593	-0.06756283342838287
PMP2	0.07139120995998383	0.027965528890490532
CYP4A11	-0.07132114470005035	0.031934283673763275
KRT9	-0.07077693194150925	0.010639620944857597
FAM25A	-0.0705307275056839	-0.02868453413248062
TAC3	-0.07021433115005493	-0.04343918710947037
SPRR1A	-0.07014845311641693	-0.029404904693365097
SPRR2G	-0.07010485231876373	-0.039174821227788925
ANKS4B	-0.07005655765533447	-0.026860108599066734
CYP4Z1	-0.06953737884759903	-0.012433819472789764
RBM24	-0.06931871175765991	0.00043578195618465543
AADAC	-0.06915681064128876	0.08671317249536514
C20orf85	-0.06898970156908035	-0.06045689433813095
ZNF385B	-0.06853024661540985	-0.008970310911536217
ANKRD56	-0.06815862655639648	-0.008967450819909573
CCL11	-0.06786588579416275	-0.0011964755831286311
CALML3	-0.06777215749025345	0.010390878655016422
ACSM2B	-0.06770678609609604	0.028747059404850006
BMP5	-0.06764069944620132	-0.03796301782131195
LY6D	-0.06741327047348022	0.01675955392420292
UGT1A9	-0.06716929376125336	-0.04473654925823212
C18orf16	0.06706324219703674	-0.008667436428368092
MUCL1	-0.06700966507196426	0.03275255858898163
SLC6A19	-0.0670078843832016	-0.08997593820095062
ADH6	-0.06670673936605453	-0.0006032981327734888
TH	-0.06642293184995651	0.008475272916257381
EPN3	-0.06616942584514618	-0.03545261546969414
SCGB2A2	-0.06569554656744003	0.06792638450860977
MOG	0.06569448858499527	-0.002603513188660145
WIF1	-0.0655566155910492	-0.006552029866725206
KIF12	-0.06528925895690918	-0.019278887659311295
VSNL1	-0.06484020501375198	0.04117317870259285
ADH1A	-0.0647200495004654	0.07533421367406845
CMTM5	0.06432788819074631	0.04236188530921936
TCF21	-0.06421122699975967	-0.03860153257846832
RNF186	-0.06407265365123749	-0.026284445077180862
SIX3	-0.06397457420825958	0.018170058727264404
NTF3	-0.06372691690921783	0.004776959773153067
NPHS1	-0.0636620968580246	-0.023396683856844902
UGT1A6	-0.06355730444192886	-0.03976574167609215
IL20	-0.06352486461400986	0.0008381998632103205
SCGB1A1	-0.06315398216247559	-0.03943147882819176
APCS	-0.06305425614118576	0.032845597714185715
SERPINA4	-0.06290841847658157	0.04505176097154617
ANKRD1	-0.06282865256071091	-0.016751905903220177
IGFL1	-0.06281372904777527	-0.008036501705646515
FGF19	-0.06280417740345001	-0.01588306576013565
SLCO1B3	-0.06252662092447281	0.00016559602227061987
HABP2	-0.06251220405101776	-0.010752001777291298
C2CD4A	-0.062418099492788315	-0.031130261719226837
PHGR1	-0.06228706240653992	-0.011119027622044086
TM4SF5	-0.062265750020742416	-0.016894521191716194
KIAA1239	-0.0622381865978241	0.048382796347141266
CREB3L3	-0.0621040016412735	0.015791501849889755
SLC17A2	-0.062097515910863876	0.004432100336998701
CYP2B6	-0.06184786558151245	0.028512785211205482
PITX1	-0.06168614700436592	-0.02276526391506195
TINAG	-0.061447300016880035	-0.05839816480875015
UGT1A1	-0.06117262318730354	-0.019060693681240082
TMEM40	-0.060993798077106476	-0.011206584982573986
BMP3	-0.06078650802373886	-0.05471337214112282
PVALB	-0.06069277226924896	-0.06691509485244751
CYP2C9	-0.06065407395362854	-0.0008384324610233307
MS4A8B	-0.06060527265071869	-0.025482524186372757
AKR1B10	-0.060557808727025986	-0.027654459699988365
MAG	0.060413144528865814	0.003910942003130913
FAM181A	0.060397323220968246	-0.02983645536005497
ADH1C	-0.0603707879781723	0.014616189524531364
CCBE1	-0.06029156967997551	-0.0010380784515291452
C6orf141	-0.06015040725469589	0.004740661010146141
SERPINA10	-0.06001713499426842	0.07198882848024368
C6orf222	-0.060008175671100616	-0.06256896257400513
SLC5A8	-0.05990931764245033	-0.057471100240945816
FABP6	-0.05974508821964264	-0.036939870566129684
C1orf230	-0.05958462506532669	-0.024590572342276573
MAL2	-0.059581197798252106	-0.0013258634135127068
CDHR2	-0.05925929173827171	-0.012194638140499592
SH3RF2	-0.05913523584604263	0.0030061008874326944
UGT3A2	-0.05897141620516777	-0.01744660548865795
NGB	-0.05890202522277832	-0.01579589582979679
SERPINB5	-0.05888195335865021	-0.007812856696546078
MS4A15	-0.05887647345662117	-0.03776044771075249
KRT31	-0.058843743056058884	-0.034482914954423904
STK32A	0.058834053575992584	0.01870580203831196
TYRP1	-0.0586223378777504	-0.018699001520872116
SLC18A2	-0.05855809524655342	-0.021378789097070694
C2orf54	-0.05845150724053383	-0.006703158374875784
KLK8	-0.05827782675623894	0.01116114016622305
C11orf53	-0.05819820612668991	-0.046189844608306885
PRAP1	-0.05815191566944122	-0.012155742384493351
