genes	weight
FEZF1	0.0843310654163
PTH2R	0.0813089609146
C12orf56	0.0809540897608
MAGEA9B	0.0780308693647
LIN28B	0.0768567100167
GJB7	0.0762542635202
TRDN	0.0751034617424
C11orf53	0.0656577572227
POU6F2	0.06396345794200001
ALX1	0.063615553081
PRAME	0.06189804524180001
DMRTA2	0.06082312017680001
DLX6	0.0603662841022
SFTA3	0.0598322600126
NTS	0.0589218921959
SFTPA1	0.05645047500730001
SIX3	0.0561482831836
CCDC67	0.0561271309853
HEPACAM2	0.0558436252177
POPDC3	0.0557553730905
KLK12	0.0550101846457
UGT3A1	0.0541885793209
HOXD13	0.05391494929790001
WISP3	0.053362093865900004
KCNB2	0.052623298019199995
SPRR2F	0.0521774701774
LOC647309	0.051815006882
SOX21	0.051578707993
DLX6AS	0.0512252487242
ZIC1	0.051108650863199996
SOX2	0.0510753579438
SLC6A15	0.0507506094873
TDRD5	0.050576005131
NR0B1	0.05028599500659999
