genes	weight
CLCNKB	-0.04023837298154831
ATP2B3	-0.04032076150178909
GFAP	-0.04034530743956566
PIP	-0.04036274552345276
PSD2	-0.04053046554327011
TGM5	-0.040561068803071976
LPPR5	-0.04056745767593384
FLJ45983	-0.04060181602835655
COX6B2	-0.040690306574106216
C5orf27	-0.040774788707494736
SLC4A1	-0.04078363999724388
CPEB1	-0.040804408490657806
POU3F3	-0.04114202409982681
ITPKA	-0.041171684861183167
P2RX2	-0.041407980024814606
SAMD11	-0.041576921939849854
TMEM132E	-0.041608527302742004
IL20	-0.041632067412137985
ASPA	-0.04163346439599991
CHRM1	-0.04163581505417824
RTN4RL1	-0.04166953265666962
EDA2R	-0.041702497750520706
KLK8	-0.04175883159041405
KCNK10	-0.04182816296815872
DNAH9	-0.042045604437589645
CRHR1	-0.042103901505470276
RHBG	-0.04213316738605499
TNNI3	-0.04219450429081917
C14orf180	-0.0421963594853878
SEMA3B	-0.04238910600543022
EPHA10	-0.04242894798517227
CLCNKA	-0.04250391572713852
ASPG	-0.04250955581665039
IRX4	-0.042545780539512634
LHFPL4	-0.042869869619607925
TYR	-0.042961932718753815
DKFZp434J0226	-0.043026987463235855
C14orf105	-0.04307633638381958
FOXC2	-0.04312315955758095
CSMD3	-0.04318977892398834
MMP28	-0.043308790773153305
TM4SF5	-0.04339860752224922
LPPR3	-0.04352162033319473
NKD1	-0.04354304447770119
MAGEA12	-0.04368811100721359
SLC22A12	-0.043697211891412735
NEFM	-0.043709464371204376
CLDN19	-0.043731238692998886
C1QL1	-0.04383758455514908
LYPD2	-0.0438561737537384
FLJ42875	-0.043909795582294464
SH3TC2	-0.0439881831407547
CYP17A1	-0.04411051422357559
GLB1L3	-0.04411963373422623
CREB3L3	-0.04415679723024368
HKDC1	-0.04421631991863251
FBXL16	-0.04439232498407364
NTRK3	-0.04444403946399689
DMRTC1B	-0.04451199993491173
RAET1E	-0.044515881687402725
STAC2	-0.044521525502204895
ELAVL2	-0.044575877487659454
CACNA1G	-0.044587142765522
ENTPD8	-0.04458792507648468
ADH4	-0.04474421218037605
MYO1A	-0.04476732388138771
GRIK4	-0.04481508210301399
GNG7	-0.04484952613711357
PRODH2	-0.04485231265425682
CLEC9A	-0.044897522777318954
FBN3	-0.045106858015060425
LOC154822	-0.04518388956785202
TMEM132C	-0.04523945227265358
FAM46B	-0.045400138944387436
DLX3	-0.04547826200723648
REEP6	-0.045533113181591034
TDGF1	-0.045560624450445175
HPR	-0.04562820494174957
ALPP	-0.04568806290626526
SLC9A3	-0.045773983001708984
CYP2W1	-0.045798756182193756
DIRAS1	-0.04579898715019226
CDH22	-0.045820001512765884
MMEL1	-0.04596838727593422
ACTL6B	-0.046066876500844955
CPA4	-0.04615725949406624
NEFL	-0.0462711825966835
ACCN1	-0.04648340493440628
COL20A1	-0.04648766294121742
DPEP1	-0.046676669269800186
FAM135B	-0.046750400215387344
CRCT1	-0.04683210700750351
CMTM5	-0.04685402661561966
C9orf169	-0.04688606038689613
CCK	-0.04697340354323387
DAO	-0.047021880745887756
HCG22	-0.04703337326645851
GCGR	-0.04706603288650513
