	encoding 82	encoding 85
EIF1AY	-0.5436049103736877	0.013643681071698666
UTY	-0.514366865158081	0.019198380410671234
CYorf15A	-0.5140133500099182	0.016753196716308594
KDM5D	-0.49948784708976746	0.01906072348356247
DDX3Y	-0.4977093040943146	0.022053400054574013
TMSB4Y	-0.49530211091041565	-0.003714407328516245
USP9Y	-0.49487370252609253	0.02216425910592079
TTTY15	-0.4870775043964386	0.014047161675989628
NCRNA00185	-0.47364524006843567	-0.01987849548459053
CYorf15B	-0.4725455343723297	0.019966956228017807
ZFY	-0.4533476233482361	0.018548816442489624
RPS4Y1	-0.4528881013393402	0.016435420140624046
NLGN4Y	-0.37142717838287354	-0.013002603314816952
DAZ1	-0.36980539560317993	-0.008084538392722607
XIST	0.31628143787384033	-0.023227332159876823
TSIX	0.2982998490333557	-0.030514683574438095
PRKY	-0.29452183842658997	0.017515767365694046
SCGB2A2	-0.07268887758255005	-0.05252193287014961
ANKRD30A	-0.06827381253242493	-0.05463624745607376
SCGB1D2	-0.06164446473121643	-0.0198053028434515
DDX43	-0.05463346838951111	0.013477031141519547
SPESP1	-0.05438830703496933	-0.016471700742840767
PIP	-0.047292936593294144	-0.05426691100001335
LRTM2	-0.046080321073532104	-0.01296504121273756
SERPINA11	-0.04489970579743385	-0.08339860290288925
C1orf64	-0.044709574431180954	-0.07707397639751434
WISP3	-0.04401155561208725	0.003715741913765669
CALML5	-0.04150834679603577	-0.04243473336100578
GP2	-0.0412064827978611	-0.015030709095299244
TAT	-0.04110920429229736	-0.06565769016742706
APOF	-0.03951641917228699	-0.0718129351735115
DNAJB13	-0.03926495090126991	-0.012326271273195744
KLK5	-0.039124496281147	-0.019239814952015877
CRISP3	-0.03875972330570221	-0.05847564712166786
MAGEB2	0.0379519909620285	0.007338347379118204
NBPF4	-0.037377361208200455	0.018660301342606544
ZNF536	0.03709287568926811	-0.013504749163985252
CASP14	-0.03709276393055916	-0.020402703434228897
BPIL1	-0.03671054542064667	-0.07467357814311981
ORM2	-0.036632195115089417	-0.051968056708574295
KLK3	-0.03638190031051636	-0.0454719215631485
LOC647309	-0.03633524104952812	-0.03185383230447769
KCNC2	-0.03630252927541733	-0.03888103365898132
FOXE1	0.036176931113004684	-0.021519429981708527
PHGR1	-0.03614015877246857	-0.013056508265435696
PLG	-0.035120900720357895	-0.05165070667862892
CAMP	-0.03492839261889458	-0.06915795803070068
MUCL1	-0.034873683005571365	-0.047160930931568146
SCGB2A1	-0.034773897379636765	-0.050425101071596146
CYP4F8	-0.03477372229099274	-0.061475951224565506
WIT1	-0.034624066203832626	-0.017994068562984467
SLURP1	-0.03447820246219635	-0.039297472685575485
LDLRAD1	-0.03424873203039169	-0.08652928471565247
LRRC26	-0.034228742122650146	-0.025995789095759392
