genes	weight
ALX1	-0.051730517297999996
TTR	-0.0517979487777
CDH18	-0.051829520613
PSAPL1	-0.0518845207989
CYP2C18	-0.0519018583
C14orf180	-0.0519327223301
COL2A1	-0.052013553679
PLA2G3	-0.052054073661599996
MAGEA9B	-0.052352167665999996
NR0B2	-0.0523738823831
SAMD5	-0.052404869347800004
CACNG7	-0.0524683706462
NELL1	-0.0528378821909
ITLN2	-0.05314512923359999
MAGEA12	-0.0533547252417
DSG3	-0.0535103343427
CIDEA	-0.053797818720300004
MSI1	-0.053881485015199994
CTAG2	-0.0540006309748
SPOCK3	-0.054053477942900004
ADARB2	-0.0543560013175
CGB7	-0.054530076682599994
SERPINB5	-0.0545761287212
RIMBP2	-0.0546226501465
AGXT	-0.0546949096024
HOXA13	-0.054809480905499995
PHGR1	-0.0548744052649
IHH	-0.05499929189680001
ZNF536	-0.0552470125258
TFF1	-0.055552210658800005
LPA	-0.0557496622205
INSC	-0.055833760648999996
PLA2G4F	-0.056272879242900004
IL20	-0.0562817938626
PCSK9	-0.0564172193408
CTAG1B	-0.05648900568490001
SLC7A3	-0.0565861873329
ISL1	-0.0567111968994
LGI1	-0.056784503161899993
DHRS2	-0.0567929968238
SLC26A3	-0.056797821074699995
SPINK5	-0.0568214841187
PRAC	-0.0570589378476
ASPG	-0.0571956001222
MAGEB2	-0.057312771678
PRRT4	-0.0575161986053
LGALS7	-0.057827942073300005
RALYL	-0.058342538773999995
HMGCS2	-0.058413118124000005
PDX1	-0.0584591552615
KIAA1239	-0.0585376098752
SOX21	-0.05860825255509999
EPHA5	-0.0588290467858
LGALS7B	-0.059351176023500006
UGT1A10	-0.059773430228199996
CALML3	-0.060140322893900006
UGT3A1	-0.060196835547699994
USH1C	-0.0605345740914
CA4	-0.0605749189854
KLK3	-0.06060990318659999
FGF19	-0.061148203909400005
MSMB	-0.0613042786717
UGT1A7	-0.0615158230066
FOXL2	-0.0615383312106
FAM123A	-0.061646524816800004
PRKY	-0.06210640072819999
OTC	-0.062303300947000005
SERPINB4	-0.0627292096615
C3orf72	-0.0630845427513
CNTFR	-0.063592389226
PLA2G4E	-0.0640161037445
TAC3	-0.0652707219124
CHGA	-0.0653577148914
SOX1	-0.0660018473864
TAC1	-0.0663182064891
CCL14-CCL15	-0.0663623064756
TMEM229A	-0.0665774568915
OLFM4	-0.0665956735611
HPSE2	-0.0667658373713
FSTL5	-0.066932618618
SERPINB11	-0.0669787451625
ADH1C	-0.0671628117561
ADH7	-0.0672964900732
SERPINB3	-0.0689469128847
SLCO1A2	-0.0692757368088
EDN3	-0.0696282833815
EPS8L3	-0.0709319859743
GDA	-0.0709487199783
CSMD3	-0.0713435262442
GPX2	-0.072193197906
C11orf53	-0.0733441486955
RHCG	-0.074073433876
DQX1	-0.07484696805480001
CYP2W1	-0.0750237703323
TSPAN8	-0.0750279128551
SULT1E1	-0.0752410292625
CLCA4	-0.07541231065989999
PIWIL1	-0.075459651649
RNF186	-0.07638349384069999
UGT1A6	-0.077102214098
IGDCC3	-0.0777307078242
SERPINB13	-0.07900195568799999
C6orf176	-0.0790870264173
LCE3D	-0.079224601388
UGT1A1	-0.0815287455916
PIK3C2G	-0.0829851850867
UGT1A3	-0.0831177085638
FXYD4	-0.0832306295633
POPDC3	-0.0839683711529
SULT2A1	-0.08456021547319999
CPN1	-0.0848710164428
UGT1A9	-0.08504509180780001
CDH10	-0.0875986367464
SI	-0.0881624519825
BTBD17	-0.0933536142111
CHP2	-0.09368368983269999
CSF3	-0.0944781005383
DAZ1	-0.09918922930960002
CDH7	-0.09947019815439999
NLGN4Y	-0.09990738332270001
CYorf15B	-0.10037368536
ZFY	-0.101704970002
NCRNA00185	-0.10218906402599999
TMSB4Y	-0.10835918039100001
KDM5D	-0.11353169381599999
RPS4Y1	-0.113684944808
ODAM	-0.114615134895
USP9Y	-0.11548980325500001
UTY	-0.116350062191
TTTY15	-0.11723882705
DDX3Y	-0.118620976806
CYorf15A	-0.12026809155899999
EIF1AY	-0.128164097667
