genes	weight
CYP4F8	-0.054549105465400004
FCRL5	-0.0550756342709
C4orf7	-0.0566334165633
SAA2	-0.05664058774709999
ADH7	-0.0567460432649
FAM177B	-0.057031188160199996
TUBAL3	-0.05774648115040001
KIAA0125	-0.057903997600099996
AMPD1	-0.0581609047949
AKR1B15	-0.0583142787218
TRY6	-0.0589404962957
AMTN	-0.059625208377800006
TNFRSF17	-0.059671644121400004
AQP2	-0.06005411222580001
IGFL1	-0.06011370942000001
FCRL2	-0.0616307742894
C5orf46	-0.0620763525367
STAP1	-0.06228254362940001
LCE3D	-0.0624593161047
UGT1A1	-0.0631608739495
ADH4	-0.0636206716299
ODAM	-0.0636221021414
TGM5	-0.0647242665291
SAA4	-0.0655073821545
C6orf15	-0.0658320635557
TNFRSF13B	-0.06591582298280001
FCRL1	-0.07137490063910001
PSG4	-0.0719009414315
UGT1A9	-0.0719713643193
CPB1	-0.0747368708253
SLURP1	-0.07749789208169999
UGT1A10	-0.0796039104462
UGT1A3	-0.07975450903180001
RPTN	-0.08330024033780001
FAM25A	-0.09806113690139999
C11orf86	-0.0996654853225
UGT1A7	-0.102855890989
UGT1A8	-0.105491176248
